,Image,Collection,Production,Date,Occasion,Multiple bill,Performances_ID,Normalised title,Original language,Composer,Original premiere,Original title,genre,Season,Directors,Title_Language,Leaflet_Language,Opmerking
1473,1910-1911_00055-20220207_120744.jpg,1910-1911,Christ'l,1910-12-11,,False,844966,Christ'l,?,Georg Jarno,1907,Die Försterchristl,leichte oper,1910-1911,Henry Fontaine,Unk,,
1474,1910-1911_00057-20220207_120759.jpg,1910-1911,Tristan en Isolde,1910-12-16,gala eerste opvoering,False,440789,Tristan en Isolde,DUI,Richard Wagner,1860,Tristan und Isolde,gesamtkunstwerk,1910-1911,Henry Fontaine,NL,,
1475,1910-1911_00071-20220207_120934.jpg,1910-1911,De Lustige Boer,1910-12-18,,False,768293,De Lustige Boer,DUI,Leo Fall,1907,Der fidele Bauer,leichte oper,1910-1911,Henry Fontaine,NL,,
1476,1910-1911_00072-20220207_120947.jpg,1910-1911,De Meesterzangers,1910-12-17,,False,770963,De Meesterzangers van Nurenberg,DUI,Richard Wagner,1868,Die Meistersinger von Nürnberg,zangspel,1910-1911,Henry Fontaine,NL,,
1477,1910-1911_00073-20220207_121006.jpg,1910-1911,De Lustige Boer,1910-12-22,,False,447019,De Lustige Boer,DUI,Leo Fall,1907,Der fidele Bauer,leichte oper,1910-1911,Henry Fontaine,NL,,
1478,1910-1911_00074-20220207_121016.jpg,1910-1911,Tristan en Isolde,1910-12-20,gala,False,489075,Tristan en Isolde,DUI,Richard Wagner,1860,Tristan und Isolde,gesamtkunstwerk,1910-1911,Henry Fontaine,NL,,
1479,1910-1911_00075-20220207_121023.jpg,1910-1911,Christ'l,1910-12-25,,False,101161,Christ'l,?,Georg Jarno,1907,Die Försterchristl,leichte oper,1910-1911,Henry Fontaine,Unk,,
1480,1910-1911_00076-20220207_121031.jpg,1910-1911,De Vestale,1910-12-24,,False,391264,De Vestale,FR,Gaspare Spontini,1808,La vestale,tragédie lyrique,1910-1911,Henry Fontaine,NL,,
1481,1910-1911_00077-20220207_121038.jpg,1910-1911,De Vestale,1910-12-26,,False,518946,De Vestale,FR,Gaspare Spontini,1808,La vestale,tragédie lyrique,1910-1911,Henry Fontaine,NL,,
1482,1910-1911_00078-20220207_121045.jpg,1910-1911,De Lustige Boer,1910-12-26,,False,924801,De Lustige Boer,DUI,Leo Fall,1907,Der fidele Bauer,leichte oper,1910-1911,Henry Fontaine,NL,,
1483,1910-1911_00079-20220207_121056.jpg,1910-1911,Cleopatra,1910-12-31,,False,298008,Cleopatra,DEE,August Enna,1894,Cleopatra,opera seria,1910-1911,Henry Fontaine,Unk,,
1484,1910-1911_00080-20220207_121106.jpg,1910-1911,De Bruid der Zee,1910-12-27,,False,374524,De Bruid der Zee,NL,Jan Blockx,1901,De Bruid der Zee,romantische opera,1910-1911,Henry Fontaine,NL,,
1485,1910-1911_00081-20220207_121111.jpg,1910-1911,Cleopatra,1911-01-05,,False,523196,Cleopatra,DEE,August Enna,1894,Cleopatra,opera seria,1910-1911,Henry Fontaine,Unk,,
1486,1910-1911_00082-20220207_121123.jpg,1910-1911,De Lustige Boer,1911-01-01,,False,361830,De Lustige Boer,DUI,Leo Fall,1907,Der fidele Bauer,leichte oper,1910-1911,Henry Fontaine,NL,,
1487,1910-1911_00083-20220207_121132.jpg,1910-1911,De Meesterzangers,1911-01-08,,False,390380,De Meesterzangers van Nurenberg,DUI,Richard Wagner,1868,Die Meistersinger von Nürnberg,zangspel,1910-1911,Henry Fontaine,NL,,
1488,1910-1911_00084-20220207_121141.jpg,1910-1911,De Vliegende Hollander,1911-01-07,,False,223222,De Vliegende Hollander,DUI,Richard Wagner,1843,Der fliegende Holländer,romantische oper,1910-1911,Henry Fontaine,NL,,
1489,1910-1911_00085-20220207_121147.jpg,1910-1911,Christ'l,1911-01-12,,False,395310,Christ'l,?,Georg Jarno,1907,Die Försterchristl,leichte oper,1910-1911,Henry Fontaine,Unk,,
1490,1910-1911_00087-20220207_121216.jpg,1910-1911,Miss Doedelzak,1911-11-15,Eerste opvoering in BelgiÃ«,False,220992,Miss Doedelzak,DUI,Rudolf Nelson,?,Miss Dudelsack,?,1911-1912,Henry Fontaine,NL,,
1491,1910-1911_00088-20220207_121231.jpg,1910-1911,Cleopatra,1911-01-14,,False,309951,Cleopatra,DEE,August Enna,1894,Cleopatra,opera seria,1910-1911,Henry Fontaine,Unk,,
1492,1910-1911_00089-20220207_121240.jpg,1910-1911,Miss Doedelzak,1911-01-21,,False,742137,Miss Doedelzak,DUI,Rudolf Nelson,?,Miss Dudelsack,?,1910-1911,Henry Fontaine,NL,,
1493,1910-1911_00090-20220207_121250.jpg,1910-1911,De Lustige Boer,1911-01-19,,False,460067,De Lustige Boer,DUI,Leo Fall,1907,Der fidele Bauer,leichte oper,1910-1911,Henry Fontaine,NL,,
1494,1910-1911_00091-20220207_121302.jpg,1910-1911,Christ'l,1911-01-24,,False,763957,Christ'l,?,Georg Jarno,1907,Die Försterchristl,leichte oper,1910-1911,Henry Fontaine,Unk,,
1495,1910-1911_00092-20220207_121311.jpg,1910-1911,Godendeemstering,1911-01-22,,False,558860,Götterdämmerung,DUI,Richard Wagner,1876,Götterdämmerung,gesamtkunstwerk,1910-1911,Henry Fontaine,DUI,,
1496,1910-1911_00093-20220207_121318.jpg,1910-1911,Miss Doedelzak,1911-01-28,,False,106143,Miss Doedelzak,DUI,Rudolf Nelson,?,Miss Dudelsack,?,1910-1911,Henry Fontaine,NL,,
1497,1910-1911_00094-20220207_121326.jpg,1910-1911,De Meesterzanger,1911-01-26,,False,892978,De Meesterzangers van Nurenberg,DUI,Richard Wagner,1868,Die Meistersinger von Nürnberg,zangspel,1910-1911,Henry Fontaine,NL,,
1498,1910-1911_00095-20220207_121333.jpg,1910-1911,Cleopatra,1911-01-31,,False,705016,Cleopatra,DEE,August Enna,1894,Cleopatra,opera seria,1910-1911,Henry Fontaine,Unk,,
1499,1910-1911_00096-20220207_121346.jpg,1910-1911,Vestale,1911-01-29,Van vestale werd enkel het 2e bedrijf gespeeld,False,798580,De Vestale,FR,Gaspare Spontini,1808,La vestale,tragédie lyrique,1910-1911,Henry Fontaine,NL,,
1500,1910-1911_00096-20220207_121346.jpg,1910-1911,De Lustige Broeder,1911-01-29,Van vestale werd enkel het 2e bedrijf gespeeld,False,450584,De Lustige Boer,DUI,Leo Fall,1907,Der fidele Bauer,leichte oper,1910-1911,Henry Fontaine,NL,,
1501,1910-1911_00097-20220207_121356.jpg,1910-1911,Herbergprinses,1911-02-04,gala,False,969636,Herbergprinses,NL,Jan Blockx,1896,Herbergprinses,zangspel,1910-1911,Henry Fontaine,NL,,
1502,1910-1911_00099-20220207_121422.jpg,1910-1911,Godendeemstering,1911-02-05,,False,987346,Götterdämmerung,DUI,Richard Wagner,1876,Götterdämmerung,gesamtkunstwerk,1910-1911,Henry Fontaine,DUI,,
1503,1910-1911_00101-20220207_121440.jpg,1910-1911,Miss Doedelzak,1911-02-09,,False,923238,Miss Doedelzak,DUI,Rudolf Nelson,?,Miss Dudelsack,?,1910-1911,Henry Fontaine,NL,,
1504,1910-1911_00103-20220207_131332.jpg,1910-1911,Herbergprinses,1911-02-12,,False,970005,Herbergprinses,NL,Jan Blockx,1896,Herbergprinses,zangspel,1910-1911,Henry Fontaine,NL,,
1505,1910-1911_00104-20220207_131343.jpg,1910-1911,Godendeemstering,1911-02-11,gala,False,846808,Götterdämmerung,DUI,Richard Wagner,1876,Götterdämmerung,gesamtkunstwerk,1910-1911,Henry Fontaine,DUI,,
1506,1910-1911_00105-20220207_131353.jpg,1910-1911,De Lustige Boer,1911-02-16,,False,374157,De Lustige Boer,DUI,Leo Fall,1907,Der fidele Bauer,leichte oper,1910-1911,Henry Fontaine,NL,,
1507,1910-1911_00107-20220207_131412.jpg,1910-1911,Cleopatra,1911-02-19,,False,202245,Cleopatra,DEE,August Enna,1894,Cleopatra,opera seria,1910-1911,Henry Fontaine,Unk,,
1508,1910-1911_00107-20220207_131412.jpg,1910-1911,Christ'l,1911-02-19,,False,518717,Christ'l,?,Georg Jarno,1907,Die Försterchristl,leichte oper,1910-1911,Henry Fontaine,Unk,,
1509,1910-1911_00108-20220207_131424.jpg,1910-1911,Herbergprinses,1911-02-18,,False,374618,Herbergprinses,NL,Jan Blockx,1896,Herbergprinses,zangspel,1910-1911,Henry Fontaine,NL,,
1510,1910-1911_00109-20220207_131435.jpg,1910-1911,De Vestale,1911-02-23,,False,872223,De Vestale,FR,Gaspare Spontini,1808,La vestale,tragédie lyrique,1910-1911,Henry Fontaine,NL,,
1511,1910-1911_00111-20220207_131501.jpg,1910-1911,De Lustige Boer,1911-02-25,,False,747130,De Lustige Boer,DUI,Leo Fall,1907,Der fidele Bauer,leichte oper,1910-1911,Henry Fontaine,NL,,
1512,1910-1911_00113-20220207_131522.jpg,1910-1911,De Vestale,1911-02-26,,False,341521,De Vestale,FR,Gaspare Spontini,1808,La vestale,tragédie lyrique,1910-1911,Henry Fontaine,NL,,
1513,1910-1911_00113-20220207_131522.jpg,1910-1911,Christ'l,1911-02-26,,False,194059,Christ'l,?,Georg Jarno,1907,Die Försterchristl,leichte oper,1910-1911,Henry Fontaine,Unk,,
1514,1910-1911_00115-20220207_131540.jpg,1910-1911,Cleopatra,1911-02-28,,False,805982,Cleopatra,DEE,August Enna,1894,Cleopatra,opera seria,1910-1911,Henry Fontaine,Unk,,
1515,1910-1911_00115-20220207_131540.jpg,1910-1911,De Lustige Boer,1911-02-28,,False,374366,De Lustige Boer,DUI,Leo Fall,1907,Der fidele Bauer,leichte oper,1910-1911,Henry Fontaine,NL,,
1516,1910-1911_00116-20220207_131548.jpg,1910-1911,Herbergprinses,1911-02-27,,False,886347,Herbergprinses,NL,Jan Blockx,1896,Herbergprinses,zangspel,1910-1911,Henry Fontaine,NL,,
1517,1910-1911_00117-20220207_131557.jpg,1910-1911,De Vliegende Hollander,1911-03-02,,False,607134,De Vliegende Hollander,DUI,Richard Wagner,1843,Der fliegende Holländer,romantische oper,1910-1911,Henry Fontaine,NL,,
1518,1910-1911_00119-20220207_131621.jpg,1910-1911,De Vrouwkens van Brugge,1911-03-05,,False,802166,De Vrouwkens van Brugge,NL,E. Britt,?,De Vrouwkens van Brugge,?,1910-1911,Henry Fontaine,NL,,
1519,1910-1911_00119-20220207_131621.jpg,1910-1911,Miss Doedelzak,1911-03-05,,False,774481,Miss Doedelzak,DUI,Rudolf Nelson,?,Miss Dudelsack,?,1910-1911,Henry Fontaine,NL,,
1520,1910-1911_00120-20220207_131629.jpg,1910-1911,De Lustige Boer,1911-03-04,,False,444229,De Lustige Boer,DUI,Leo Fall,1907,Der fidele Bauer,leichte oper,1910-1911,Henry Fontaine,NL,,
1521,1910-1911_00121-20220207_131639.jpg,1910-1911,Herbergprinses,1911-03-09,,False,876791,Herbergprinses,NL,Jan Blockx,1896,Herbergprinses,zangspel,1910-1911,Henry Fontaine,NL,,
1522,1910-1911_00123-20220207_131700.jpg,1910-1911,De Meesterzangers,1911-03-11,,False,589604,De Meesterzangers van Nurenberg,DUI,Richard Wagner,1868,Die Meistersinger von Nürnberg,zangspel,1910-1911,Henry Fontaine,NL,,
1523,1910-1911_00125-20220207_131721.jpg,1910-1911,Cleopatra,1911-03-12,,False,979535,Cleopatra,DEE,August Enna,1894,Cleopatra,opera seria,1910-1911,Henry Fontaine,Unk,,
1524,1910-1911_00125-20220207_131721.jpg,1910-1911,Christ'l,1911-03-12,,False,728048,Christ'l,?,Georg Jarno,1907,Die Försterchristl,leichte oper,1910-1911,Henry Fontaine,Unk,,
1525,1910-1911_00127-20220207_131740.jpg,1910-1911,Godendeemstering,1911-03-14,,False,803939,Götterdämmerung,DUI,Richard Wagner,1876,Götterdämmerung,gesamtkunstwerk,1910-1911,Henry Fontaine,DUI,,
1526,1910-1911_00129-20220207_131803.jpg,1910-1911,Rozemarijntje,1911-03-16,,False,604275,Het Rozemarijntje,NL,Arthur Van Oost,1907,Rozemarijntje,zangspel,1910-1911,Henry Fontaine,NL,,
1527,1910-1911_00131-20220207_131827.jpg,1910-1911,Herbergprinses,1911-03-18,,False,353663,Herbergprinses,NL,Jan Blockx,1896,Herbergprinses,zangspel,1910-1911,Henry Fontaine,NL,,
1528,1910-1911_00133-20220207_131849.jpg,1910-1911,De Vrouwkens van Brugge,1911-03-19,,False,369605,De Vrouwkens van Brugge,NL,E. Britt,?,De Vrouwkens van Brugge,?,1910-1911,Henry Fontaine,NL,,
1529,1910-1911_00133-20220207_131849.jpg,1910-1911,Tannhauser,1911-03-19,,False,505586,Tannhauser,DUI,Richard Wagner,1845,Tannhäuser,romantische oper,1910-1911,Henry Fontaine,Unk,,
1530,1910-1911_00135-20220207_131910.jpg,1910-1911,De Vliegende Hollander,1911-03-21,,False,268725,De Vliegende Hollander,DUI,Richard Wagner,1843,Der fliegende Holländer,romantische oper,1910-1911,Henry Fontaine,NL,,
1531,1910-1911_00137-20220207_131932.jpg,1910-1911,De Bruid der Zee,1911-03-23,,False,353647,De Bruid der Zee,NL,Jan Blockx,1901,De Bruid der Zee,romantische opera,1910-1911,Henry Fontaine,NL,,
1532,1910-1911_00139-20220207_131947.jpg,1910-1911,Rozemarijntje,1911-03-25,,False,144365,Het Rozemarijntje,NL,Arthur Van Oost,1907,Rozemarijntje,zangspel,1910-1911,Henry Fontaine,NL,,
1533,1910-1911_00141-20220207_132002.jpg,1910-1911,Prinses Zonneschijn,1911-03-26,,False,259650,Prinses Zonneschijn,NL,Paul Gilson,1903,Prinses Zonneschijn,operetta,1910-1911,Henry Fontaine,NL,,
1534,1910-1911_00141-20220207_132002.jpg,1910-1911,Christ'l,1911-03-26,,False,384114,Christ'l,?,Georg Jarno,1907,Die Försterchristl,leichte oper,1910-1911,Henry Fontaine,Unk,,
1535,1910-1911_00143-20220207_132013.jpg,1910-1911,De Lustige Boer,1911-03-28,,False,357401,De Lustige Boer,DUI,Leo Fall,1907,Der fidele Bauer,leichte oper,1910-1911,Henry Fontaine,NL,,
1536,1910-1911_00145-20220207_132025.jpg,1910-1911,Herbergprinses,1911-03-30,,False,235857,Herbergprinses,NL,Jan Blockx,1896,Herbergprinses,zangspel,1910-1911,Henry Fontaine,NL,,
1537,1910-1911_00147-20220207_132036.jpg,1910-1911,Tannhauser,1911-03-31,Kunstavond,False,365931,Tannhauser,DUI,Richard Wagner,1845,Tannhäuser,romantische oper,1910-1911,Henry Fontaine,Unk,,
1538,1911-1912 Vlaamse Opera_00005-20211216_155456.jpg,1911-1912,Martha,1911-10-01,openingsvertooning,False,158090,Martha,DUI,Friedrich von Flotow,1847,Martha,komische oper,1911-1912,Henry Fontaine,Unk,,
1539,1911-1912 Vlaamse Opera_00007-20211216_155527.jpg,1911-1912,Faust,1911-10-05,gala,False,625132,Faust,FR,Charles Gounod,1859,Faust,grand opera,1911-1912,Henry Fontaine,Unk,,
1540,1911-1912 Vlaamse Opera_00009-20211216_155544.jpg,1911-1912,Martha,1911-10-07,,False,870175,Martha,DUI,Friedrich von Flotow,1847,Martha,komische oper,1911-1912,Henry Fontaine,Unk,,
1541,1911-1912 Vlaamse Opera_00011-20211216_155601.jpg,1911-1912,Faust,1911-10-08,,False,509112,Faust,FR,Charles Gounod,1859,Faust,grand opera,1911-1912,Henry Fontaine,Unk,,
1542,1911-1912 Vlaamse Opera_00013-20211216_155625.jpg,1911-1912,De Evangelieman,1911-10-12,,False,530443,De Evangelieman,DUI,Wilhelm Kienzl,1894,Der Evangelimann,romantische oper,1911-1912,Henry Fontaine,NL,,
1543,1911-1912 Vlaamse Opera_00015-20211216_155644.jpg,1911-1912,Christ'l,1911-10-14,,False,384791,Christ'l,?,Georg Jarno,1907,Die Försterchristl,leichte oper,1911-1912,Henry Fontaine,Unk,,
1544,1911-1912 Vlaamse Opera_00017-20211216_155707.jpg,1911-1912,Martha,1911-10-15,,False,271033,Martha,DUI,Friedrich von Flotow,1847,Martha,komische oper,1911-1912,Henry Fontaine,Unk,,
1545,1911-1912 Vlaamse Opera_00017-20211216_155707.jpg,1911-1912,Het Minnebrugje,1911-10-15,,False,223957,Het Minnebrugje,NL,Arthur Van Oost,?,Het Minnebrugje,zangspel,1911-1912,Henry Fontaine,NL,,
1546,1911-1912 Vlaamse Opera_00019-20211216_155734.jpg,1911-1912,Othello,1911-10-19,gala,False,979366,Othello,TSJ,Antonín Dvořák,1891,Othello,opera seria,1911-1912,Henry Fontaine,Unk,,
1547,1911-1912 Vlaamse Opera_00021-20211216_155759.jpg,1911-1912,De Lustige Boer,1911-10-21,,False,967531,De Lustige Boer,DUI,Leo Fall,1907,Der fidele Bauer,leichte oper,1911-1912,Henry Fontaine,NL,,
1548,1911-1912 Vlaamse Opera_00023-20211216_155827.jpg,1911-1912,Martha,1911-10-22,,False,180973,Martha,DUI,Friedrich von Flotow,1847,Martha,komische oper,1911-1912,Henry Fontaine,Unk,,
1549,1911-1912 Vlaamse Opera_00023-20211216_155827.jpg,1911-1912,Het Minnebrugje,1911-10-22,,False,545336,Het Minnebrugje,NL,Arthur Van Oost,?,Het Minnebrugje,zangspel,1911-1912,Henry Fontaine,NL,,
1550,1911-1912 Vlaamse Opera_00025-20211216_155847.jpg,1911-1912,Faust,1911-10-26,,False,472326,Faust,FR,Charles Gounod,1859,Faust,grand opera,1911-1912,Henry Fontaine,Unk,,
1551,1911-1912 Vlaamse Opera_00027-20211216_155907.jpg,1911-1912,Othello,1911-10-28,,False,473851,Othello,TSJ,Antonín Dvořák,1891,Othello,opera seria,1911-1912,Henry Fontaine,Unk,,
1552,1911-1912 Vlaamse Opera_00043-20211216_160620.jpg,1911-1912,Winternachtsdroom,1911-10-29,,False,720945,Winternachtsdroom,NL,August de Boeck,1902,Winternachtsdroom,lyrisch drama,1911-1912,Henry Fontaine,NL,,
1553,1911-1912 Vlaamse Opera_00043-20211216_160620.jpg,1911-1912,Christ'l,1911-10-29,,False,828321,Christ'l,?,Georg Jarno,1907,Die Försterchristl,leichte oper,1911-1912,Henry Fontaine,Unk,,
1554,1911-1912 Vlaamse Opera_00045-20211216_160641.jpg,1911-1912,Martha,1911-10-31,,False,135591,Martha,DUI,Friedrich von Flotow,1847,Martha,komische oper,1911-1912,Henry Fontaine,Unk,,
1555,1911-1912 Vlaamse Opera_00047-20211216_160702.jpg,1911-1912,Othello,1911-11-01,,False,194997,Othello,TSJ,Antonín Dvořák,1891,Othello,opera seria,1911-1912,Henry Fontaine,Unk,,
1556,1911-1912 Vlaamse Opera_00049-20211216_160738.jpg,1911-1912,Orpheus,1911-11-04,gala,False,214177,Orpheus' Dood,FR,Jacques Offenbach,1858,Orphée aux enfers,operetta,1911-1912,Henry Fontaine,NL,,
1557,1911-1912 Vlaamse Opera_00051-20211216_160754.jpg,1911-1912,Othello,1911-11-05,,False,744283,Othello,TSJ,Antonín Dvořák,1891,Othello,opera seria,1911-1912,Henry Fontaine,Unk,,
1558,1911-1912 Vlaamse Opera_00053-20211216_160811.jpg,1911-1912,Orpheus,1911-11-09,,False,443545,Orpheus' Dood,FR,Jacques Offenbach,1858,Orphée aux enfers,operetta,1911-1912,Henry Fontaine,NL,,
1559,1911-1912 Vlaamse Opera_00055-20211216_160836.jpg,1911-1912,De Lustige Boer,1911-11-11,,False,821251,De Lustige Boer,DUI,Leo Fall,1907,Der fidele Bauer,leichte oper,1911-1912,Henry Fontaine,NL,,
1560,1911-1912 Vlaamse Opera_00057-20211216_160855.jpg,1911-1912,Winternachtsdroom,1911-11-12,,False,766819,Winternachtsdroom,NL,August de Boeck,1902,Winternachtsdroom,lyrisch drama,1911-1912,Henry Fontaine,NL,,
1561,1911-1912 Vlaamse Opera_00057-20211216_160855.jpg,1911-1912,Othello,1911-11-12,,False,769821,Othello,TSJ,Antonín Dvořák,1891,Othello,opera seria,1911-1912,Henry Fontaine,Unk,,
1562,1911-1912 Vlaamse Opera_00059-20211216_160912.jpg,1911-1912,Christ'l,1911-11-16,,False,444638,Christ'l,?,Georg Jarno,1907,Die Försterchristl,leichte oper,1911-1912,Henry Fontaine,Unk,,
1563,1911-1912 Vlaamse Opera_00061-20211216_160934.jpg,1911-1912,Martha,1911-11-18,,False,624680,Martha,DUI,Friedrich von Flotow,1847,Martha,komische oper,1911-1912,Henry Fontaine,Unk,,
1564,1911-1912 Vlaamse Opera_00061-20211216_160934.jpg,1911-1912,Het Minnebrugje,1911-11-18,,False,621177,Het Minnebrugje,NL,Arthur Van Oost,?,Het Minnebrugje,zangspel,1911-1912,Henry Fontaine,NL,,
1565,1911-1912 Vlaamse Opera_00063-20211216_160950.jpg,1911-1912,Orpheus,1911-11-19,,False,988925,Orpheus' Dood,FR,Jacques Offenbach,1858,Orphée aux enfers,operetta,1911-1912,Henry Fontaine,NL,,
1566,1911-1912 Vlaamse Opera_00063-20211216_160950.jpg,1911-1912,De Lustige Boer,1911-11-19,,False,193744,De Lustige Boer,DUI,Leo Fall,1907,Der fidele Bauer,leichte oper,1911-1912,Henry Fontaine,NL,,
1567,1911-1912 Vlaamse Opera_00065-20211216_161012.jpg,1911-1912,Martha,1911-11-23,,False,815601,Martha,DUI,Friedrich von Flotow,1847,Martha,komische oper,1911-1912,Henry Fontaine,Unk,,
1568,1911-1912 Vlaamse Opera_00067-20211216_161035.jpg,1911-1912,Zigeunerliefde,1911-11-25,,False,940831,Zigeunerliefde,DUI,Franz Lehár,1910,Zigeunerliebe,operetta,1911-1912,Henry Fontaine,NL,,
1569,1911-1912 Vlaamse Opera_00069-20211216_161057.jpg,1911-1912,Winternachtsdroom,1911-11-26,,False,554688,Winternachtsdroom,NL,August de Boeck,1902,Winternachtsdroom,lyrisch drama,1911-1912,Henry Fontaine,NL,,
1570,1911-1912 Vlaamse Opera_00069-20211216_161057.jpg,1911-1912,Othello,1911-11-26,,False,980040,Othello,TSJ,Antonín Dvořák,1891,Othello,opera seria,1911-1912,Henry Fontaine,Unk,,
1571,1911-1912 Vlaamse Opera_00071-20211216_161115.jpg,1911-1912,Faust,1911-11-28,,False,888208,Faust,FR,Charles Gounod,1859,Faust,grand opera,1911-1912,Henry Fontaine,Unk,,
1572,1911-1912 Vlaamse Opera_00073-20211216_161135.jpg,1911-1912,Zigeunerliefde,1911-11-30,,False,124804,Zigeunerliefde,DUI,Franz Lehár,1910,Zigeunerliebe,operetta,1911-1912,Henry Fontaine,NL,,
1573,1911-1912 Vlaamse Opera_00075-20211216_161158.jpg,1911-1912,Herbergprinses,1911-12-02,,False,112774,Herbergprinses,NL,Jan Blockx,1896,Herbergprinses,zangspel,1911-1912,Henry Fontaine,NL,,
1574,1911-1912 Vlaamse Opera_00077-20211216_161221.jpg,1911-1912,Orpheus,1911-12-03,,False,141037,Orpheus' Dood,FR,Jacques Offenbach,1858,Orphée aux enfers,operetta,1911-1912,Henry Fontaine,NL,,
1575,1911-1912 Vlaamse Opera_00077-20211216_161221.jpg,1911-1912,Zigeunerliefde,1911-12-03,,False,494268,Zigeunerliefde,DUI,Franz Lehár,1910,Zigeunerliebe,operetta,1911-1912,Henry Fontaine,NL,,
1576,1911-1912 Vlaamse Opera_00079-20211216_161240.jpg,1911-1912,Herbergprinses,1911-12-04,,False,283978,Herbergprinses,NL,Jan Blockx,1896,Herbergprinses,zangspel,1911-1912,Henry Fontaine,NL,,
1577,1911-1912 Vlaamse Opera_00081-20211216_161302.jpg,1911-1912,Rozemarijntje,1911-12-07,,False,783925,Het Rozemarijntje,NL,Arthur Van Oost,1907,Rozemarijntje,zangspel,1911-1912,Henry Fontaine,NL,,
1578,1911-1912 Vlaamse Opera_00083-20211216_161320.jpg,1911-1912,Zigeunerliefde,1911-12-09,,False,909716,Zigeunerliefde,DUI,Franz Lehár,1910,Zigeunerliebe,operetta,1911-1912,Henry Fontaine,NL,,
1579,1911-1912 Vlaamse Opera_00085-20211216_161338.jpg,1911-1912,De Lustige Boer,1911-12-10,,False,238004,De Lustige Boer,DUI,Leo Fall,1907,Der fidele Bauer,leichte oper,1911-1912,Henry Fontaine,NL,,
1580,1911-1912 Vlaamse Opera_00087-20211216_161408.jpg,1911-1912,Cleopatra,1911-12-10,,False,144984,Cleopatra,DEE,August Enna,1894,Cleopatra,opera seria,1911-1912,Henry Fontaine,Unk,,
1581,1911-1912 Vlaamse Opera_00087-20211216_161408.jpg,1911-1912,Het Minnebrugje,1911-12-10,,False,829790,Het Minnebrugje,NL,Arthur Van Oost,?,Het Minnebrugje,zangspel,1911-1912,Henry Fontaine,NL,,
1582,1911-1912 Vlaamse Opera_00089-20211216_161427.jpg,1911-1912,Christ'l,1911-12-10,Volgens een nota vond deze voorstelling plaats op 12 december,False,313505,Christ'l,?,Georg Jarno,1907,Die Försterchristl,leichte oper,1911-1912,Henry Fontaine,Unk,,
1583,1911-1912 Vlaamse Opera_00091-20211216_161445.jpg,1911-1912,Tannhauser,1911-12-14,,False,134199,Tannhauser,DUI,Richard Wagner,1845,Tannhäuser,romantische oper,1911-1912,Henry Fontaine,Unk,,
1584,1911-1912 Vlaamse Opera_00093-20211216_161507.jpg,1911-1912,Othello,1911-12-16,,False,557942,Othello,TSJ,Antonín Dvořák,1891,Othello,opera seria,1911-1912,Henry Fontaine,Unk,,
1585,1911-1912 Vlaamse Opera_00095-20211216_161525.jpg,1911-1912,Zeevolk,1911-12-17,,False,104617,Zeevolk,FR,Paul Gilson,1904,Gens de Mer,lyric opera,1911-1912,Henry Fontaine,NL,,
1586,1911-1912 Vlaamse Opera_00095-20211216_161525.jpg,1911-1912,Christ'l,1911-12-17,,False,957403,Christ'l,?,Georg Jarno,1907,Die Försterchristl,leichte oper,1911-1912,Henry Fontaine,Unk,,
1587,1911-1912 Vlaamse Opera_00097-20211216_161542.jpg,1911-1912,Martha,1911-12-19,,False,474497,Martha,DUI,Friedrich von Flotow,1847,Martha,komische oper,1911-1912,Henry Fontaine,Unk,,
1588,1911-1912 Vlaamse Opera_00097-20211216_161542.jpg,1911-1912,Het Minnebrugje,1911-12-19,,False,453971,Het Minnebrugje,NL,Arthur Van Oost,?,Het Minnebrugje,zangspel,1911-1912,Henry Fontaine,NL,,
1589,1911-1912 Vlaamse Opera_00099-20211216_161600.jpg,1911-1912,De Evangelieman,1911-12-21,,False,714302,De Evangelieman,DUI,Wilhelm Kienzl,1894,Der Evangelimann,romantische oper,1911-1912,Henry Fontaine,NL,,
1590,1911-1912 Vlaamse Opera_00101-20211216_161617.jpg,1911-1912,De Lustige Boer,1911-12-23,,False,712119,De Lustige Boer,DUI,Leo Fall,1907,Der fidele Bauer,leichte oper,1911-1912,Henry Fontaine,NL,,
1591,1911-1912 Vlaamse Opera_00103-20211216_161646.jpg,1911-1912,Orpheus,1911-12-24,,False,525119,Orpheus' Dood,FR,Jacques Offenbach,1858,Orphée aux enfers,operetta,1911-1912,Henry Fontaine,NL,,
1592,1911-1912 Vlaamse Opera_00103-20211216_161646.jpg,1911-1912,Rozemarijntje,1911-12-24,,False,597421,Het Rozemarijntje,NL,Arthur Van Oost,1907,Rozemarijntje,zangspel,1911-1912,Henry Fontaine,NL,,
1593,1911-1912 Vlaamse Opera_00105-20211216_161700.jpg,1911-1912,Cleopatra,1911-12-25,,False,376580,Cleopatra,DEE,August Enna,1894,Cleopatra,opera seria,1911-1912,Henry Fontaine,Unk,,
1594,1911-1912 Vlaamse Opera_00105-20211216_161700.jpg,1911-1912,Zigeunerliefde,1911-12-25,,False,474751,Zigeunerliefde,DUI,Franz Lehár,1910,Zigeunerliebe,operetta,1911-1912,Henry Fontaine,NL,,
1595,1911-1912 Vlaamse Opera_00107-20211216_161719.jpg,1911-1912,Christ'l,1911-12-26,,False,715517,Christ'l,?,Georg Jarno,1907,Die Försterchristl,leichte oper,1911-1912,Henry Fontaine,Unk,,
