,Date,Production,Multiple bill,Performances_ID,Normalised title,Original language,Composer,Original premiere,Original title,genre,Season
109,1941-04-06,Het Meisje van Zaventem,False,468403,Het Meisje van Zaventem,NL,Emile Hullebroeck,1934,Het Meisje van Zaventem,zangspel,1940-1941
110,1941-04-06,Anne-Marie,False,384858,Anne-Marie,N/A,N/A,N/A,N/A,N/A,1940-1941
111,1941-04-07,Variété Duitse Weermacht,False,334885,Variété Duitse Weermacht,N/A,N/A,N/A,N/A,N/A,1940-1941
112,1941-04-07,Berliner Kunstlerfahrt,False,533828,Berliner Kunstlerfahrt,N/A,N/A,N/A,N/A,N/A,1940-1941
113,1941-04-08,De Vledermuis,False,628591,De Vledermuis,DUI,Johan Strauss,1874,Die Fledermaus,operetta,1940-1941
114,1941-04-10,De Zigeunerbaron,False,161522,De Zigeunerbaron,DUI,Johann Strauss,1885,Der Zigeunerbaron,operetta,1940-1941
115,1941-04-13,De Arme Student,False,399311,De Arme Student,DUI,Carl Millöcker,1882,Der Bettelstudent,operette,1940-1941
117,1941-04-17,De Arme Student,False,914323,De Arme Student,DUI,Carl Millöcker,1882,Der Bettelstudent,operette,1940-1941
118,1941-04-20,De Arme Student,False,424003,De Arme Student,DUI,Carl Millöcker,1882,Der Bettelstudent,operette,1940-1941
119,1941-04-20,Het Meisje van Zaventem,False,606517,Het Meisje van Zaventem,NL,Emile Hullebroeck,1934,Het Meisje van Zaventem,zangspel,1940-1941
120,1941-04-22,Hansel en Gretel,False,242559,Hansje en Grietje,DUI,Engelbert Humperdinck,1893,Hänsel und Gretel,kinder opera,1940-1941
121,1941-04-23,Hansel en Gretel,False,866074,Hansje en Grietje,DUI,Engelbert Humperdinck,1893,Hänsel und Gretel,kinder opera,1940-1941
122,1941-04-24,De Arme Student,False,232557,De Arme Student,DUI,Carl Millöcker,1882,Der Bettelstudent,operette,1940-1941
123,1941-04-27,In het Witte Paard,False,881978,In het Witte Paard,DUI,Ralph Benatzky,1899,Im Weißen Rößl,operette,1940-1941
125,1941-05-01,In het Witte Paard,False,480912,In het Witte Paard,DUI,Ralph Benatzky,1899,Im Weißen Rößl,operette,1940-1941
126,1941-05-02,Duitse Jazz Muziek,False,157138,Duitse Jazz Muziek,N/A,N/A,N/A,N/A,N/A,1940-1941
127,1941-05-03,In het Witte Paard,False,267619,In het Witte Paard,DUI,Ralph Benatzky,1899,Im Weißen Rößl,operette,1940-1941
128,1941-05-04,Operaconcert,False,536261,Operaconcert,N/A,N/A,N/A,N/A,N/A,1940-1941
129,1941-05-04,In het Witte Paard,False,246614,In het Witte Paard,DUI,Ralph Benatzky,1899,Im Weißen Rößl,operette,1940-1941
131,1941-05-09,De Neef uit het Oosten,False,898094,De Neef uit het Oosten,NL,?,1925,De Neef uit het Oosten,toneelstuk,1940-1941
132,1941-05-10,De Neef uit het Oosten,False,685285,De Neef uit het Oosten,NL,?,1925,De Neef uit het Oosten,toneelstuk,1940-1941
133,1941-05-12,In het Witte Paard,False,312664,In het Witte Paard,DUI,Ralph Benatzky,1899,Im Weißen Rößl,operette,1940-1941
135,1941-05-18,In het Witte Paard,False,241459,In het Witte Paard,DUI,Ralph Benatzky,1899,Im Weißen Rößl,operette,1940-1941
