,Date,Production,Multiple bill,Performances_ID,Normalised title,Original language,Composer,Original premiere,Original title,genre,Season
439,1942-11-03,Monika,False,760192,Monika,DUI,Nico Dostal,1937,Monika,operette,1942-1943
440,1942-11-05,Faillissement,False,577494,Faillissement,N/A,N/A,N/A,N/A,N/A,1942-1943
441,1942-11-05,Monika,False,551860,Monika,DUI,Nico Dostal,1937,Monika,operette,1942-1943
442,1942-11-08,Monika,False,168040,Monika,DUI,Nico Dostal,1937,Monika,operette,1942-1943
443,1942-11-08,Gudrun,False,654204,Gudrun,DUI,Felix Draeseke,1883,Gudrun,operetta,1942-1943
444,1942-11-10,Gudrun,False,746700,Gudrun,DUI,Felix Draeseke,1883,Gudrun,operetta,1942-1943
445,1942-11-10,Getrouwd,False,453171,Getrouwd,N/A,N/A,N/A,N/A,N/A,1942-1943
446,1942-11-12,Tosca,False,646789,Tosca,ITA,Giacomo Puccini,1900,Tosca,verismo opera,1942-1943
447,1942-11-15,Salons: voordracht,True,538833,Salons: voordracht,N/A,N/A,N/A,N/A,N/A,1942-1943
448,1942-11-15,eedaflegging VNV,True,538833,eedaflegging VNV,N/A,N/A,N/A,N/A,N/A,1942-1943
449,1942-11-15,Bohème,False,304228,Bohème,ITA,Giacomo Puccini,1897,La bohème,verismo opera,1942-1943
450,1942-11-15,Tosca,False,238279,Tosca,ITA,Giacomo Puccini,1900,Tosca,verismo opera,1942-1943
451,1942-11-16,2 de Symfonieconcert,False,356846,2 de Symfonieconcert,N/A,N/A,N/A,N/A,N/A,1942-1943
452,1942-11-17,Bohème,False,554772,Bohème,ITA,Giacomo Puccini,1897,La bohème,verismo opera,1942-1943
453,1942-11-19,Bohème,False,312050,Bohème,ITA,Giacomo Puccini,1897,La bohème,verismo opera,1942-1943
454,1942-11-22,Tosca,False,225661,Tosca,ITA,Giacomo Puccini,1900,Tosca,verismo opera,1942-1943
455,1942-11-22,Gasparone,False,879228,Gasparone,DUI,Carl Millöcker,1884,Gasparone,operette,1942-1943
456,1942-11-24,Tosca,False,497454,Tosca,ITA,Giacomo Puccini,1900,Tosca,verismo opera,1942-1943
457,1942-11-26,Gasparone,False,309645,Gasparone,DUI,Carl Millöcker,1884,Gasparone,operette,1942-1943
459,1942-11-29,Faust,False,667758,Faust,FR,Charles Gounod,1859,Faust,grand opera,1942-1943
460,1942-11-29,Spreekbeurt Duitse Weermacht,False,968383,Spreekbeurt Duitse Weermacht,N/A,N/A,N/A,N/A,N/A,1942-1943
461,1942-11-29,Bohème,False,143245,Bohème,ITA,Giacomo Puccini,1897,La bohème,verismo opera,1942-1943
462,1942-12-01,Gasparone,False,259992,Gasparone,DUI,Carl Millöcker,1884,Gasparone,operette,1942-1943
463,1942-12-03,Monika,False,753404,Monika,DUI,Nico Dostal,1937,Monika,operette,1942-1943
464,1942-12-06,Sint Niklaasfeest,False,625841,Sint Niklaasfeest,N/A,N/A,N/A,N/A,N/A,1942-1943
465,1942-12-06,Ballet Danse Suite,False,727895,Ballet Danse Suite,N/A,N/A,N/A,N/A,N/A,1942-1943
466,1942-12-06,Madame Butterfly,False,787166,Madame Butterfly,ITA,Giacomo Puccini,1904,Madama Butterfly,opera seria,1942-1943
467,1942-12-06,Faust,False,220389,Faust,FR,Charles Gounod,1859,Faust,grand opera,1942-1943
468,1942-12-08,Faust,False,747056,Faust,FR,Charles Gounod,1859,Faust,grand opera,1942-1943
469,1942-12-10,Don Juan,False,335841,Don Juan,ITA,Wolfgang Amadeus Mozart,1787,Don Giovanni,opera buffa,1942-1943
470,1942-12-13,Gasparone,False,471600,Gasparone,DUI,Carl Millöcker,1884,Gasparone,operette,1942-1943
471,1942-12-13,Don Juan,False,756194,Don Juan,ITA,Wolfgang Amadeus Mozart,1787,Don Giovanni,opera buffa,1942-1943
472,1942-12-14,3 e Symfonisch Concert,False,432878,3 e Symfonisch Concert,N/A,N/A,N/A,N/A,N/A,1942-1943
473,1942-12-15,Ballet,False,392399,Pan,FR,Maurits Schoemaker,1937,Pan,ballet,1942-1943
474,1942-12-15,Madame Butterfly,False,135590,Madame Butterfly,ITA,Giacomo Puccini,1904,Madama Butterfly,opera seria,1942-1943
475,1942-12-17,Sint Jansvuur,False,274084,Sint Jansvuur,N/A,N/A,N/A,N/A,N/A,1942-1943
476,1942-12-17,Concert Regenburger – Domkers,False,402970,Concert Regenburger – Domkers,N/A,N/A,N/A,N/A,N/A,1942-1943
477,1942-12-18,Maria Stuart,False,570161,Maria Stuart,ITA,Gaetano Donizetti,1834,Maria Stuarda,lyrisch drama,1942-1943
478,1944-12-20,De Bedelstudent,False,594598,De Bedelstudent,DUI,Carl Millöcker,1882,Der Bettelstudent,operetta,1944-1945
479,1942-12-20,Ballet,False,469288,Pan,FR,Maurits Schoemaker,1937,Pan,ballet,1942-1943
480,1942-12-20,Madame Butterfly,False,241175,Madame Butterfly,ITA,Giacomo Puccini,1904,Madama Butterfly,opera seria,1942-1943
481,1942-12-21,Concert Lieven Duvosel,False,935524,Concert Lieven Duvosel,N/A,N/A,N/A,N/A,N/A,1942-1943
482,1942-12-21,Hansel en Gretel,False,628465,Hansje en Grietje,DUI,Engelbert Humperdinck,1893,Hänsel und Gretel,kinder opera,1942-1943
483,1942-12-22,De Bedelstudent,False,926760,De Bedelstudent,DUI,Carl Millöcker,1882,Der Bettelstudent,operetta,1942-1943
484,1942-12-23,Dansfeest,False,776005,Dansfeest,N/A,N/A,N/A,N/A,N/A,1942-1943
485,1942-12-24,Hansel en Gretel,False,594423,Hansje en Grietje,DUI,Engelbert Humperdinck,1893,Hänsel und Gretel,kinder opera,1942-1943
486,1942-12-25,Hansel en Gretel,False,862450,Hansje en Grietje,DUI,Engelbert Humperdinck,1893,Hänsel und Gretel,kinder opera,1942-1943
487,1942-12-25,De Bedelstudent,False,744574,De Bedelstudent,DUI,Carl Millöcker,1882,Der Bettelstudent,operetta,1942-1943
488,1942-12-26,Monika,False,951865,Monika,DUI,Nico Dostal,1937,Monika,operette,1942-1943
489,1942-12-26,De Bedelstudent,False,376255,De Bedelstudent,DUI,Carl Millöcker,1882,Der Bettelstudent,operetta,1942-1943
490,1942-12-26,Kerstgeschenken,False,571765,Kerstgeschenken,N/A,N/A,N/A,N/A,N/A,1942-1943
491,1942-12-27,Don Juan,False,759101,Don Juan,ITA,Wolfgang Amadeus Mozart,1787,Don Giovanni,opera buffa,1942-1943
492,1942-12-27,Gasparone,False,968514,Gasparone,DUI,Carl Millöcker,1884,Gasparone,operette,1942-1943
493,1942-12-29,Don Juan,False,112952,Don Juan,ITA,Wolfgang Amadeus Mozart,1787,Don Giovanni,opera buffa,1942-1943
494,1942-12-31,De Bedelstudent,False,761943,De Bedelstudent,DUI,Carl Millöcker,1882,Der Bettelstudent,operetta,1942-1943
495,1943-01-03,Hansel en Gretel,False,370954,Hansje en Grietje,DUI,Engelbert Humperdinck,1893,Hänsel und Gretel,kinder opera,1942-1943
496,1943-01-03,De Bedelstudent,False,230283,De Bedelstudent,DUI,Carl Millöcker,1882,Der Bettelstudent,operetta,1942-1943
497,1943-01-05,Tannhäuser,False,846959,Tannhauser,DUI,Richard Wagner,1845,Tannhäuser,romantische oper,1942-1943
498,1943-01-06,Weermachtsconcert,False,355876,Weermachtsconcert,N/A,N/A,N/A,N/A,N/A,1942-1943
499,1943-01-07,Tannhäuser,False,770812,Tannhauser,DUI,Richard Wagner,1845,Tannhäuser,romantische oper,1942-1943
500,1943-01-10,Gasparone,False,258580,Gasparone,DUI,Carl Millöcker,1884,Gasparone,operette,1942-1943
501,1943-01-10,Hansel en Gretel,False,304452,Hansje en Grietje,DUI,Engelbert Humperdinck,1893,Hänsel und Gretel,kinder opera,1942-1943
502,1943-01-11,4 e Symfonieconcert,False,860496,4 e Symfonieconcert,N/A,N/A,N/A,N/A,N/A,1942-1943
503,1943-01-12,De Bedelstudent,False,899469,De Bedelstudent,DUI,Carl Millöcker,1882,Der Bettelstudent,operetta,1942-1943
504,1943-01-14,Ballet Suite de Dance,False,373008,Ballet Suite de Dance,N/A,N/A,N/A,N/A,N/A,1942-1943
505,1943-01-14,Madame Butterfly,False,619979,Madame Butterfly,ITA,Giacomo Puccini,1904,Madama Butterfly,opera seria,1942-1943
506,1943-01-17,De Lustige Weduwe,False,734261,De Lustige Weduwe,DUI,Franz Lehár,1906,Die lustige Witwe,operette,1942-1943
507,1943-01-17,Bohème,False,980662,Bohème,ITA,Giacomo Puccini,1897,La bohème,verismo opera,1942-1943
508,1943-01-19,De Lustige Weduwe,False,836394,De Lustige Weduwe,DUI,Franz Lehár,1906,Die lustige Witwe,operette,1942-1943
509,1943-01-21,Mona Lisa,False,670208,Mona Lisa,DUI,Max von Schillings,1914,Mona Lisa,opera,1942-1943
510,1943-01-24,Peperbol,False,765596,Peperbol,?,?,?,?,?,1942-1943
512,1943-01-26,Mona Lisa,False,489120,Mona Lisa,DUI,Max von Schillings,1914,Mona Lisa,opera,1942-1943
513,1943-01-28,Peperbol,False,837249,Peperbol,?,?,?,?,?,1942-1943
514,1943-01-30,Wedstrijd: schaakspel en bridge,False,271144,Wedstrijd: schaakspel en bridge,N/A,N/A,N/A,N/A,N/A,1942-1943
515,1943-01-31,Ballet Carnaval,False,560677,Carnaval,N/A,Jaak Opsomer,1936,Carnaval,ballet,1942-1943
516,1943-01-31,Madame Butterfly,False,901670,Madame Butterfly,ITA,Giacomo Puccini,1904,Madama Butterfly,opera seria,1942-1943
517,1943-01-31,Tannhäuser,False,798031,Tannhauser,DUI,Richard Wagner,1845,Tannhäuser,romantische oper,1942-1943
518,1943-02-02,Peperbol,False,618879,Peperbol,?,?,?,?,?,1942-1943
519,1943-02-04,Ballet Suite de Dance,False,910900,Ballet Suite de Dance,N/A,N/A,N/A,N/A,N/A,1942-1943
520,1943-02-04,Madame Butterfly,False,380676,Madame Butterfly,ITA,Giacomo Puccini,1904,Madama Butterfly,opera seria,1942-1943
521,1943-02-07,De Lustige Weduwe,False,982336,De Lustige Weduwe,DUI,Franz Lehár,1906,Die lustige Witwe,operette,1942-1943
522,1943-02-07,Mona Lisa,False,172068,Mona Lisa,DUI,Max von Schillings,1914,Mona Lisa,opera,1942-1943
523,1943-02-08,Hansel en Gretel,False,509996,Hansje en Grietje,DUI,Engelbert Humperdinck,1893,Hänsel und Gretel,kinder opera,1942-1943
524,1943-02-09,Bohème,False,316741,Bohème,ITA,Giacomo Puccini,1897,La bohème,verismo opera,1942-1943
525,1943-02-11,Bohème,False,149431,Bohème,ITA,Giacomo Puccini,1897,La bohème,verismo opera,1942-1943
526,1943-02-12,5e Symfonieconcert,False,751171,5e Symfonieconcert,N/A,N/A,N/A,N/A,N/A,1942-1943
527,1943-02-14,De Graaf van Luxemburg,False,563207,De Graaf van Luxemburg,DUI,Franz Lehár,1909,Der Graf von Luxemburg,operette,1942-1943
528,1943-02-14,De Lustige Weduwe,False,620997,De Lustige Weduwe,DUI,Franz Lehár,1906,Die lustige Witwe,operette,1942-1943
529,1943-02-16,De Graaf van Luxemburg,False,945106,De Graaf van Luxemburg,DUI,Franz Lehár,1909,Der Graf von Luxemburg,operette,1942-1943
530,1943-02-17,Groot Symfonisch Concert,False,372399,Groot Symfonisch Concert,N/A,N/A,N/A,N/A,N/A,1942-1943
531,1943-02-18,Faust,False,761149,Faust,FR,Charles Gounod,1859,Faust,grand opera,1942-1943
532,1943-02-19,Pianorecital,False,939072,Pianorecital,N/A,N/A,N/A,N/A,N/A,1942-1943
533,1943-02-21,Mona,False,819731,Mona,N/A,N/A,N/A,N/A,N/A,1942-1943
534,1943-02-21,Peperbol,False,582546,Peperbol,?,?,?,?,?,1942-1943
535,1943-02-23,Peperbol,False,170042,Peperbol,?,?,?,?,?,1942-1943
536,1943-02-25,Peperbol,False,778123,Peperbol,?,?,?,?,?,1942-1943
537,1943-02-27,Bohème,False,712368,Bohème,ITA,Giacomo Puccini,1897,La bohème,verismo opera,1942-1943
538,1943-02-28,Faust,False,549987,Faust,FR,Charles Gounod,1859,Faust,grand opera,1942-1943
539,1943-02-28,De Graaf van Luxemburg,False,664892,De Graaf van Luxemburg,DUI,Franz Lehár,1909,Der Graf von Luxemburg,operette,1942-1943
540,1943-03-01,Huldebetoon,False,198933,Huldebetoon,N/A,N/A,N/A,N/A,N/A,1942-1943
541,1943-03-02,Ballet,False,228879,Pan,FR,Maurits Schoemaker,1937,Pan,ballet,1942-1943
542,1943-03-04,De Lustige Weduwe,False,376272,De Lustige Weduwe,DUI,Franz Lehár,1906,Die lustige Witwe,operette,1942-1943
543,1943-03-06,De Lustige Weduwe,False,662230,De Lustige Weduwe,DUI,Franz Lehár,1906,Die lustige Witwe,operette,1942-1943
544,1943-03-07,Bohème,False,779846,Bohème,ITA,Giacomo Puccini,1897,La bohème,verismo opera,1942-1943
545,1943-03-07,Laagland,False,985728,Laagland,DUI,Albert D'Eugen,1903,Tiefland,melodramatische oper,1942-1943
546,1943-03-08,6de Symfonisch concert,False,291568,6de Symfonisch concert,N/A,N/A,N/A,N/A,N/A,1942-1943
547,1943-03-09,Peperbol,False,664930,Peperbol,?,?,?,?,?,1942-1943
548,1943-03-11,De Graaf van Luxemburg,False,505478,De Graaf van Luxemburg,DUI,Franz Lehár,1909,Der Graf von Luxemburg,operette,1942-1943
549,1943-03-14,Peperbol,False,411182,Peperbol,?,?,?,?,?,1942-1943
550,1943-03-14,De Verkochte Bruid,False,110640,De Verkochte Bruid,TSJ,Bedřich	Smetana,1866,The Bartered Bride,czech national opera,1942-1943
551,1943-03-16,Rigoletto,False,730927,Rigoletto,ITA,Giuseppe Verdi,1851,Rigoletto,melodrama,1942-1943
552,1943-03-18,De Bedelstudent,False,668112,De Bedelstudent,DUI,Carl Millöcker,1882,Der Bettelstudent,operetta,1942-1943
553,1943-03-20,De Verkochte Bruid,False,460663,De Verkochte Bruid,TSJ,Bedřich	Smetana,1866,The Bartered Bride,czech national opera,1942-1943
554,1943-03-21,Rigoletto,False,475380,Rigoletto,ITA,Giuseppe Verdi,1851,Rigoletto,melodrama,1942-1943
555,1943-03-21,Ballet,False,663350,Pan,FR,Maurits Schoemaker,1937,Pan,ballet,1942-1943
556,1943-03-23,De Bedelstudent,False,861009,De Bedelstudent,DUI,Carl Millöcker,1882,Der Bettelstudent,operetta,1942-1943
557,1943-03-25,Rigoletto,False,454858,Rigoletto,ITA,Giuseppe Verdi,1851,Rigoletto,melodrama,1942-1943
558,1943-03-27,Revue Duitse Weermacht,False,643936,Revue Duitse Weermacht,N/A,N/A,N/A,N/A,N/A,1942-1943
559,1943-03-28,Verschillende poppenspelen in de concertzaal,False,505231,Verschillende poppenspelen in de concertzaal,N/A,N/A,N/A,N/A,N/A,1942-1943
561,1943-03-28,De Bedelstudent,False,606540,De Bedelstudent,DUI,Carl Millöcker,1882,Der Bettelstudent,operetta,1942-1943
562,1943-03-28,Faust,False,598720,Faust,FR,Charles Gounod,1859,Faust,grand opera,1942-1943
563,1943-03-30,De Verkochte Bruid,False,683417,De Verkochte Bruid,TSJ,Bedřich	Smetana,1866,The Bartered Bride,czech national opera,1942-1943
564,1943-04-01,De Verkochte Bruid,False,237533,De Verkochte Bruid,TSJ,Bedřich	Smetana,1866,The Bartered Bride,czech national opera,1942-1943
565,1943-04-03,Kunstconcert,False,822865,Kunstconcert,N/A,N/A,N/A,N/A,N/A,1942-1943
566,1943-04-04,De Verkochte Bruid,False,641704,De Verkochte Bruid,TSJ,Bedřich	Smetana,1866,The Bartered Bride,czech national opera,1942-1943
567,1943-04-04,Rigoletto,False,698045,Rigoletto,ITA,Giuseppe Verdi,1851,Rigoletto,melodrama,1942-1943
568,1943-04-05,7de Symfonische concert,False,524757,7de Symfonische concert,N/A,N/A,N/A,N/A,N/A,1942-1943
569,1943-04-06,La Traviata,False,262653,Traviata,ITA,Giuseppe Verdi,1853,La traviata,opera semiseria,1942-1943
570,1943-04-07,Wiener Sängerknaben,False,619095,Wiener Sängerknaben,N/A,N/A,N/A,N/A,N/A,1942-1943
571,1943-04-08,Laagland,False,497572,Laagland,DUI,Albert D'Eugen,1903,Tiefland,melodramatische oper,1942-1943
572,1943-04-09,Cavalleria Rusticana,False,470383,Cavalleria Rusticana,ITA,Pietro Mascagni,1890,Cavalleria rusticana,?,1942-1943
573,1943-04-09,Bajazzo,False,897317,Paljas,ITA,Ruggiero Leoncavallo,1892,Pagliacci,verisme,1942-1943
574,1943-04-10,Cavalleria Rusticana,False,312382,Cavalleria Rusticana,ITA,Pietro Mascagni,1890,Cavalleria rusticana,?,1942-1943
575,1943-04-10,Bajazzo,False,488869,Paljas,ITA,Ruggiero Leoncavallo,1892,Pagliacci,verisme,1942-1943
576,1943-04-11,Laagland,False,550770,Laagland,DUI,Albert D'Eugen,1903,Tiefland,melodramatische oper,1942-1943
577,1943-04-11,De Graaf van Luxemburg,False,952339,De Graaf van Luxemburg,DUI,Franz Lehár,1909,Der Graf von Luxemburg,operette,1942-1943
578,1943-04-13,De Graaf van Luxemburg,False,910644,De Graaf van Luxemburg,DUI,Franz Lehár,1909,Der Graf von Luxemburg,operette,1942-1943
579,1943-04-15,Knokkelbeen,False,199267,Knokkelbeen,NL,Emiel Hullebroeck,?,Knokkelbeen,zangspel,1942-1943
580,1943-04-18,Peperbol,False,670335,Peperbol,?,?,?,?,?,1942-1943
581,1943-04-18,Het Land van de Glimlach,False,930533,Het Land van den Glimlach,DUI,Franz Lehár,1923,Das Land des Lächelns,leichte oper,1942-1943
582,1943-04-19,Het Land van de Glimlach,False,438194,Het Land van den Glimlach,DUI,Franz Lehár,1923,Das Land des Lächelns,leichte oper,1942-1943
583,1943-04-20,Het Land van de Glimlach,False,403456,Het Land van den Glimlach,DUI,Franz Lehár,1923,Das Land des Lächelns,leichte oper,1942-1943
584,1943-04-22,Het Land van de Glimlach,False,651760,Het Land van den Glimlach,DUI,Franz Lehár,1923,Das Land des Lächelns,leichte oper,1942-1943
585,1943-04-25,Knokkelbeen,False,359774,Knokkelbeen,NL,Emiel Hullebroeck,?,Knokkelbeen,zangspel,1942-1943
586,1943-04-25,De Verkochte Bruid,False,336476,De Verkochte Bruid,TSJ,Bedřich	Smetana,1866,The Bartered Bride,czech national opera,1942-1943
587,1943-04-27,Laagland,False,588325,Laagland,DUI,Albert D'Eugen,1903,Tiefland,melodramatische oper,1942-1943
588,1943-04-29,La Traviata,False,315130,Traviata,ITA,Giuseppe Verdi,1853,La traviata,opera semiseria,1942-1943
589,1943-05-01,1-Meifeest Unie,False,757125,1-Meifeest Unie,N/A,N/A,N/A,N/A,N/A,1942-1943
590,1943-05-02,La Traviata,False,818935,Traviata,ITA,Giuseppe Verdi,1853,La traviata,opera semiseria,1942-1943
591,1943-05-02,Knokkelbeen,False,535392,Knokkelbeen,NL,Emiel Hullebroeck,?,Knokkelbeen,zangspel,1942-1943
592,1943-05-03,8 ste Symfonisch Concert,False,569275,8 ste Symfonisch Concert,N/A,N/A,N/A,N/A,N/A,1942-1943
593,1943-05-04,De Dans met de Keizerin,False,252255,De Dans met de Keizerin,?,?,?,?,?,1942-1943
594,1943-05-06,'t Was de Wind,False,116541,'t Was de Wind,?,?,?,?,?,1942-1943
595,1943-05-06,De Dans met de Keizerin,False,715616,De Dans met de Keizerin,?,?,?,?,?,1942-1943
596,1943-05-08,Het Land van de Glimlach,False,949606,Het Land van den Glimlach,DUI,Franz Lehár,1923,Das Land des Lächelns,leichte oper,1942-1943
597,1943-05-09,De Dans met de Keizerin,False,728966,De Dans met de Keizerin,?,?,?,?,?,1942-1943
598,1943-05-09,Vergadering den Unie der Textiel,False,934488,Vergadering den Unie der Textiel,N/A,N/A,N/A,N/A,N/A,1942-1943
600,1943-05-11,La Traviata,False,717620,Traviata,ITA,Giuseppe Verdi,1853,La traviata,opera semiseria,1942-1943
601,1943-05-13,De Rozenkavalier,False,937167,De Rozenkavalier,DUI,Richard Strauss,1911,Der Rosenkavalier,comic-fantasy,1942-1943
602,1943-05-15,Das Konzert,False,697273,Das Konzert,N/A,N/A,N/A,N/A,N/A,1942-1943
603,1943-05-16,De Rozenkavalier,False,859807,De Rozenkavalier,DUI,Richard Strauss,1911,Der Rosenkavalier,comic-fantasy,1942-1943
604,1943-05-16,De Dans met de Keizerin,False,911384,De Dans met de Keizerin,?,?,?,?,?,1942-1943
605,1943-05-18,De Rozenkavalier,False,822068,De Rozenkavalier,DUI,Richard Strauss,1911,Der Rosenkavalier,comic-fantasy,1942-1943
606,1943-05-20,De Neef uit het Oosten,False,561939,De Neef uit het Oosten,NL,?,1925,De Neef uit het Oosten,toneelstuk,1942-1943
607,1943-05-22,De Rozenkavalier,False,734190,De Rozenkavalier,DUI,Richard Strauss,1911,Der Rosenkavalier,comic-fantasy,1942-1943
608,1943-05-23,Het Land van de Glimlach,False,497555,Het Land van den Glimlach,DUI,Franz Lehár,1923,Das Land des Lächelns,leichte oper,1942-1943
609,1943-05-23,De Rozenkavalier,False,257876,De Rozenkavalier,DUI,Richard Strauss,1911,Der Rosenkavalier,comic-fantasy,1942-1943
610,1943-05-25,Het Land van de Glimlach,False,301504,Het Land van den Glimlach,DUI,Franz Lehár,1923,Das Land des Lächelns,leichte oper,1942-1943
611,1943-05-27,De Rozenkavalier,False,434133,De Rozenkavalier,DUI,Richard Strauss,1911,Der Rosenkavalier,comic-fantasy,1942-1943
612,1943-05-30,De Neef uit het Oosten,False,100853,De Neef uit het Oosten,NL,?,1925,De Neef uit het Oosten,toneelstuk,1942-1943
613,1943-05-30,Het Land van de Glimlach,False,314473,Het Land van den Glimlach,DUI,Franz Lehár,1923,Das Land des Lächelns,leichte oper,1942-1943
614,1943-05-31,9 de Symfonisch Concert: Beethoven 9de symfonie,False,309743,9 de Symfonisch Concert: Beethoven 9de symfonie,N/A,N/A,N/A,N/A,N/A,1942-1943
615,1943-06-01,De Neef uit het Oosten,False,703082,De Neef uit het Oosten,NL,?,1925,De Neef uit het Oosten,toneelstuk,1942-1943
616,1943-06-03,Het Land van de Glimlach,False,493045,Het Land van den Glimlach,DUI,Franz Lehár,1923,Das Land des Lächelns,leichte oper,1942-1943
617,1943-06-06,La Traviata,False,585132,Traviata,ITA,Giuseppe Verdi,1853,La traviata,opera semiseria,1942-1943
618,1943-06-06,Carmen,False,258366,Carmen,FR,Georges Bizet,1875,Carmen,opéra comique,1942-1943
619,1943-06-07,Bonte avond voor Duitse Weermacht,False,141149,Bonte avond voor Duitse Weermacht,N/A,N/A,N/A,N/A,N/A,1942-1943
620,1943-06-08,Carmen,False,691555,Carmen,FR,Georges Bizet,1875,Carmen,opéra comique,1942-1943
621,1943-06-10,Carmen,False,519802,Carmen,FR,Georges Bizet,1875,Carmen,opéra comique,1942-1943
622,1943-06-13,Carmen,False,802385,Carmen,FR,Georges Bizet,1875,Carmen,opéra comique,1942-1943
623,1943-06-13,De Neef uit het Oosten,False,163324,De Neef uit het Oosten,NL,?,1925,De Neef uit het Oosten,toneelstuk,1942-1943
624,1943-06-14,Vrienden van het Oostfront,False,298585,Vrienden van het Oostfront,N/A,N/A,N/A,N/A,N/A,1942-1943
625,1943-06-15,De Vogelhandelaar,False,272064,De Vogelhandelaar,DUI,Carl Zeller,1891,Der Vogelhändler,operette,1942-1943
626,1943-06-17,De Vogelhandelaar,False,494143,De Vogelhandelaar,DUI,Carl Zeller,1891,Der Vogelhändler,operette,1942-1943
627,1943-06-20,Het Land van de Glimlach,False,812925,Het Land van den Glimlach,DUI,Franz Lehár,1923,Das Land des Lächelns,leichte oper,1942-1943
628,1943-06-20,De Vogelhandelaar,False,676607,De Vogelhandelaar,DUI,Carl Zeller,1891,Der Vogelhändler,operette,1942-1943
629,1943-06-22,Het Land van de Glimlach,False,695165,Het Land van den Glimlach,DUI,Franz Lehár,1923,Das Land des Lächelns,leichte oper,1942-1943
630,1943-06-24,Het Land van de Glimlach,False,996976,Het Land van den Glimlach,DUI,Franz Lehár,1923,Das Land des Lächelns,leichte oper,1942-1943
631,1943-06-26,Carmen,False,874130,Carmen,FR,Georges Bizet,1875,Carmen,opéra comique,1942-1943
632,1943-06-27,Carmen,False,676669,Carmen,FR,Georges Bizet,1875,Carmen,opéra comique,1942-1943
633,1943-06-27,De Vledermuis,False,187776,De Vledermuis,DUI,Johan Strauss,1874,Die Fledermaus,operetta,1942-1943
634,1943-06-28,De Lustige Weduwe,False,106261,De Lustige Weduwe,DUI,Franz Lehár,1906,Die lustige Witwe,operette,1942-1943
635,1943-06-29,De Vledermuis,False,530395,De Vledermuis,DUI,Johan Strauss,1874,Die Fledermaus,operetta,1942-1943
636,1943-07-01,De Vogelhandelaar,False,461649,De Vogelhandelaar,DUI,Carl Zeller,1891,Der Vogelhändler,operette,1942-1943
637,1943-07-04,De Vledermuis,False,337874,De Vledermuis,DUI,Johan Strauss,1874,Die Fledermaus,operetta,1942-1943
638,1943-07-04,Carmen,False,280161,Carmen,FR,Georges Bizet,1875,Carmen,opéra comique,1942-1943
639,1943-07-06,Carmen,False,491102,Carmen,FR,Georges Bizet,1875,Carmen,opéra comique,1942-1943
640,1943-07-08,Carmen,False,371228,Carmen,FR,Georges Bizet,1875,Carmen,opéra comique,1942-1943
641,1943-07-11,De Vogelhandelaar,False,842600,De Vogelhandelaar,DUI,Carl Zeller,1891,Der Vogelhändler,operette,1942-1943
642,1943-07-11,Cavalleria Rusticana,False,218931,Cavalleria Rusticana,ITA,Pietro Mascagni,1890,Cavalleria rusticana,?,1942-1943
643,1943-07-11,Paljas,False,524775,Paljas,ITA,Ruggiero Leoncavallo,1892,Pagliacci,verisme,1942-1943
644,1943-07-13,Cavalleria Rusticana,False,176604,Cavalleria Rusticana,ITA,Pietro Mascagni,1890,Cavalleria rusticana,?,1942-1943
645,1943-07-13,Paljas,False,657566,Paljas,ITA,Ruggiero Leoncavallo,1892,Pagliacci,verisme,1942-1943
646,1943-07-15,Cavalleria Rusticana,False,528073,Cavalleria Rusticana,ITA,Pietro Mascagni,1890,Cavalleria rusticana,?,1942-1943
647,1943-07-15,Paljas,False,840515,Paljas,ITA,Ruggiero Leoncavallo,1892,Pagliacci,verisme,1942-1943
648,1943-07-17,De Vogelhandelaar,False,529753,De Vogelhandelaar,DUI,Carl Zeller,1891,Der Vogelhändler,operette,1942-1943
649,1943-07-18,Carmen,False,225813,Carmen,FR,Georges Bizet,1875,Carmen,opéra comique,1942-1943
650,1943-07-18,De Vledermuis,False,673706,De Vledermuis,DUI,Johan Strauss,1874,Die Fledermaus,operetta,1942-1943
651,1943-07-20,De Vogelhandelaar,False,817417,De Vogelhandelaar,DUI,Carl Zeller,1891,Der Vogelhändler,operette,1942-1943
652,1943-07-22,De Vledermuis,False,577685,De Vledermuis,DUI,Johan Strauss,1874,Die Fledermaus,operetta,1942-1943
653,1943-07-25,Cavalleria Rusticana,False,779148,Cavalleria Rusticana,ITA,Pietro Mascagni,1890,Cavalleria rusticana,?,1942-1943
654,1943-07-25,Paljas,False,316616,Paljas,ITA,Ruggiero Leoncavallo,1892,Pagliacci,verisme,1942-1943
655,1943-07-25,De Vogelhandelaar,False,801500,De Vogelhandelaar,DUI,Carl Zeller,1891,Der Vogelhändler,operette,1942-1943
656,1943-07-27,De Vledermuis,False,403509,De Vledermuis,DUI,Johan Strauss,1874,Die Fledermaus,operetta,1942-1943
657,1943-07-29,Cavalleria Rusticana,False,335050,Cavalleria Rusticana,ITA,Pietro Mascagni,1890,Cavalleria rusticana,?,1942-1943
658,1943-07-29,Paljas,False,737762,Paljas,ITA,Ruggiero Leoncavallo,1892,Pagliacci,verisme,1942-1943
659,1943-07-29,De Vogelhandelaar,False,124788,De Vogelhandelaar,DUI,Carl Zeller,1891,Der Vogelhändler,operette,1942-1943
