Image	Collection	Production	Date	Occasion	Leaflet_Language	Opmerking
0158_1933-1934_00159-20230218_112831.jpg	1933-1934	Het Land van den Glimlach	7/1/1934	gastvoorstelling H. Joachim Heinz	Dutch	N/A
0159_1933-1934_00160-20230218_112842.jpg	1933-1934	N/A	N/A	N/A	N/A	N/A
0160_1933-1934_00161-20230218_112849.jpg	1933-1934	De Tooverfluit	7/1/1934	N/A	Dutch	N/A
0161_1933-1934_00162-20230218_112858.jpg	1933-1934	N/A	N/A	N/A	N/A	N/A
0162_1933-1934_00163-20230218_113001.jpg	1933-1934	Rigoletto	9/1/1934	gastvoorstelling Helena Krinkels – Georges Youreneff	Dutch	N/A
0163_1933-1934_00164-20230218_113010.jpg	1933-1934	N/A	N/A	N/A	N/A	N/A
0164_1933-1934_00165-20230218_113018.jpg	1933-1934	Tosca	11/1/1934	gastvoorstelling H. Joachim Heinz – Georges Youreneff	Dutch	N/A
0165_1933-1934_00166-20230218_113041.jpg	1933-1934	N/A	N/A	N/A	N/A	N/A
0166_1933-1934_00167-20230218_113051.jpg	1933-1934	Rigoletto	13/1/1934	gastvoorstelling Helena Krinkels – Georges Youreneff	Dutch	N/A
0167_1933-1934_00168-20230218_113100.jpg	1933-1934	N/A	N/A	N/A	N/A	N/A
0168_1933-1934_00169-20230218_113134.jpg	1933-1934	Sissy	14/1/1934	gastvoorstelling Octavie Belloy	Dutch	N/A
0169_1933-1934_00170-20230218_113144.jpg	1933-1934	N/A	N/A	N/A	N/A	N/A
0170_1933-1934_00171-20230218_113153.jpg	1933-1934	Het Land van den Glimlach	14/1/1934	gastvoorstelling H. Joachim Heinz	Dutch	N/A
0171_1933-1934_00172-20230218_113203.jpg	1933-1934	N/A	N/A	N/A	N/A	N/A
0172_1933-1934_00173-20230218_113239.jpg	1933-1934	De Rozenkavalier	16/1/1934	GAKVO-gala	Dutch	N/A
0173_1933-1934_00174-20230218_113249.jpg	1933-1934	N/A	N/A	N/A	N/A	N/A
0174_1933-1934_00175-20230218_113258.jpg	1933-1934	Rigoletto	18/1/1934	gastvoorstelling Ewa Bandrowska-Turska – Georges Youreneff	Dutch	N/A
0175_1933-1934_00176-20230218_113307.jpg	1933-1934	N/A	N/A	N/A	N/A	N/A
0176_1933-1934_00177-20230218_113315.jpg	1933-1934	Traviata	20/1/1934	gastvoorstelling Ewa Bandrowska-Turska	Dutch	N/A
0177_1933-1934_00178-20230218_113326.jpg	1933-1934	N/A	N/A	N/A	N/A	N/A
0178_1933-1934_00179-20230218_113337.jpg	1933-1934	De Rozenkavalier	21/1/1934	N/A	Dutch	N/A
0179_1933-1934_00180-20230218_113354.jpg	1933-1934	N/A	N/A	N/A	N/A	N/A
0180_1933-1934_00181-20230218_113404.jpg	1933-1934	Rigoletto	21/1/1934	gastvoorstelling Ewa Bandrowska-Turska – Georges Youreneff	Dutch	N/A
0181_1933-1934_00182-20230218_113427.jpg	1933-1934	N/A	N/A	N/A	N/A	N/A
0182_1933-1934_00183-20230218_113437.jpg	1933-1934	Tannhäuser	23/1/1934	gastvoorstelling Gustaaf de Loor	Dutch	N/A
0183_1933-1934_00184-20230218_113446.jpg	1933-1934	N/A	N/A	N/A	N/A	N/A
0184_1933-1934_00185-20230218_113456.jpg	1933-1934	Hoffman’s Vertellingen	25/1/1934	gastvoorstelling Ewa Bandrowska-Turska	Dutch	N/A
0185_1933-1934_00186-20230218_113514.jpg	1933-1934	N/A	N/A	N/A	N/A	N/A
0186_1933-1934_00187-20230218_113524.jpg	1933-1934	Rigoletto	27/1/1934	gastvoorstelling Ewa Bandrowska-Turska – Georges Youreneff	Dutch	N/A
0187_1933-1934_00188-20230218_113544.jpg	1933-1934	N/A	N/A	N/A	N/A	N/A
0188_1933-1934_00189-20230218_113553.jpg	1933-1934	Tannhäuser	28/1/1934	gastvoorstelling Gustaaf de Loor	Dutch	N/A
0189_1933-1934_00190-20230218_113602.jpg	1933-1934	N/A	N/A	N/A	N/A	N/A
0190_1933-1934_00191-20230218_113611.jpg	1933-1934	De Dochter van Mme Angot	28/1/1934	GAKVO-gala	Dutch	N/A
0191_1933-1934_00192-20230218_113620.jpg	1933-1934	N/A	N/A	N/A	N/A	N/A
