Image	Collection	Production	Date	Occasion	Leaflet_Language	Opmerking
0097_1944-1945_00097-20230310_105449.jpg	1944/1945	De Bruid der Zee	19/5/1945	N/A	Dutch	N/A
0098_1944-1945_00098-20230310_105458.jpg	1944/1945	N/A	N/A	N/A	Dutch	N/A
0099_1944-1945_00099-20230310_105506.jpg	1944/1945	De Barbier van Sevilla	20/5/1945	N/A	Dutch	N/A
0100_1944-1945_00100-20230310_105517.jpg	1944/1945	N/A	N/A	N/A	Dutch	N/A
0101_1944-1945_00101-20230310_105526.jpg	1944/1945	De Parelvisschers	20/5/1945	N/A	Dutch	N/A
0102_1944-1945_00102-20230310_105600.jpg	1944/1945	N/A	N/A	N/A	Dutch	N/A
0103_1944-1945_00103-20230310_105608.jpg	1944/1945	Zwarte Viooltjes 	21/5/1945	N/A	Dutch	N/A
0104_1944-1945_00104-20230310_105618.jpg	1944/1945	N/A	N/A	N/A	Dutch	N/A
0105_1944-1945_00105-20230310_105626.jpg	1944/1945	Madame Butterfly	21/5/1945	N/A	Dutch	N/A
0106_1944-1945_00106-20230310_105635.jpg	1944/1945	N/A	N/A	N/A	Dutch	N/A
0107_1944-1945_00107-20230310_105642.jpg	1944/1945	Zwarte Viooltjes 	22/5/1945	N/A	Dutch	N/A
0108_1944-1945_00108-20230310_105651.jpg	1944/1945	N/A	N/A	N/A	Dutch	N/A
0109_1944-1945_00109-20230310_105659.jpg	1944/1945	Carmen	24/5/1945	N/A	Dutch	N/A
0110_1944-1945_00110-20230310_105708.jpg	1944/1945	N/A	N/A	N/A	Dutch	N/A
0111_1944-1945_00111-20230310_105716.jpg	1944/1945	De Parelvisschers	26/5/1945	N/A	Dutch	N/A
0112_1944-1945_00112-20230310_105726.jpg	1944/1945	N/A	N/A	N/A	Dutch	N/A
0113_1944-1945_00113-20230310_105736.jpg	1944/1945	Tosca	27/5/1945	N/A	Dutch	Was eerst De Bruid der Zee
0114_1944-1945_00114-20230310_105744.jpg	1944/1945	N/A	N/A	N/A	Dutch	N/A
0115_1944-1945_00115-20230310_105754.jpg	1944/1945	Carmen	27/5/1945	N/A	Dutch	Was eerst Hoffman’s Vertellingen
0116_1944-1945_00116-20230310_105815.jpg	1944/1945	N/A	N/A	N/A	Dutch	N/A
0117_1944-1945_00117-20230310_105827.jpg	1944/1945	De Vledermuis	29/5/1945	N/A	Dutch	N/A
0118_1944-1945_00118-20230310_105835.jpg	1944/1945	N/A	N/A	N/A	Dutch	N/A
0119_1944-1945_00119-20230310_105854.jpg	1944/1945	Faust	31/5/1945	N/A	Dutch	N/A
0120_1944-1945_00120-20230310_105909.jpg	1944/1945	N/A	N/A	N/A	Dutch	N/A
0121_1944-1945_00121-20230310_105916.jpg	1944/1945	N/A	N/A	N/A	Dutch	N/A
0122_1944-1945_00122-20230310_105924.jpg	1944/1945	N/A	N/A	N/A	Dutch	N/A
0123_1944-1945_00123-20230310_105932.jpg	1944/1945	Aida	2/6/1945	N/A	Dutch	N/A
0124_1944-1945_00124-20230310_105943.jpg	1944/1945	N/A	N/A	N/A	Dutch	N/A
0125_1944-1945_00125-20230310_105959.jpg	1944/1945	Boheme	3/6/1945	N/A	Dutch	N/A
0126_1944-1945_00126-20230310_110019.jpg	1944/1945	N/A	N/A	N/A	Dutch	N/A
0127_1944-1945_00127-20230310_110041.jpg	1944/1945	De Vledermuis	3/6/1945	N/A	Dutch	N/A
0128_1944-1945_00128-20230310_110052.jpg	1944/1945	N/A	N/A	N/A	Dutch	N/A
0129_1944-1945_00129-20230310_110112.jpg	1944/1945	Carmen	5/6/1945	N/A	Dutch	N/A
0130_1944-1945_00130-20230310_110122.jpg	1944/1945	N/A	N/A	N/A	Dutch	N/A
0131_1944-1945_00131-20230310_110131.jpg	1944/1945	Zwarte Viooltjes 	7/6/1945	N/A	Dutch	N/A
0132_1944-1945_00132-20230310_110142.jpg	1944/1945	N/A	N/A	N/A	Dutch	N/A
0133_1944-1945_00133-20230310_110158.jpg	1944/1945	Faust	9/6/1945	N/A	Dutch	N/A
0134_1944-1945_00134-20230310_110208.jpg	1944/1945	N/A	N/A	N/A	Dutch	N/A
0135_1944-1945_00135-20230310_110216.jpg	1944/1945	Aida	10/6/1945	N/A	Dutch	N/A
0136_1944-1945_00136-20230310_110226.jpg	1944/1945	N/A	N/A	N/A	Dutch	N/A
0137_1944-1945_00137-20230310_110234.jpg	1944/1945	Madame Butterfly	10/6/1945	N/A	Dutch	N/A
0139_1944-1945_00139-20230310_110302.jpg	1944/1945	N/A	N/A	N/A	Dutch	N/A
0140_1944-1945_00140-20230310_110512.jpg	1944/1945	De Barbier van Sevilla	12/6/1945	N/A	Dutch	N/A
0141_1944-1945_00141-20230310_110523.jpg	1944/1945	N/A	N/A	N/A	Dutch	N/A
0142_1944-1945_00142-20230310_110532.jpg	1944/1945	Aida	14/6/1945	N/A	Dutch	N/A
0143_1944-1945_00143-20230310_110544.jpg	1944/1945	N/A	N/A	N/A	Dutch	N/A
0144_1944-1945_00144-20230310_110601.jpg	1944/1945	Het Liedje van Leuven	16/6/1945	N/A	Dutch	N/A
0145_1944-1945_00145-20230310_110612.jpg	1944/1945	N/A	N/A	N/A	Dutch	N/A
0146_1944-1945_00146-20230310_110628.jpg	1944/1945	De Parelvisschers	17/6/1945	N/A	Dutch	N/A
0147_1944-1945_00147-20230310_110637.jpg	1944/1945	N/A	N/A	N/A	Dutch	N/A
0148_1944-1945_00148-20230310_110646.jpg	1944/1945	Het Liedje van Leuven	17/6/1945	N/A	Dutch	N/A
0149_1944-1945_00149-20230310_110657.jpg	1944/1945	N/A	N/A	N/A	Dutch	N/A
0150_1944-1945_00150-20230310_110704.jpg	1944/1945	Aida	19/6/1945	N/A	Dutch	N/A
0151_1944-1945_00151-20230310_110714.jpg	1944/1945	N/A	N/A	N/A	Dutch	N/A
0152_1944-1945_00152-20230310_110724.jpg	1944/1945	Het Liedje van Leuven	21/6/1945	N/A	Dutch	N/A
0153_1944-1945_00153-20230310_110747.jpg	1944/1945	N/A	N/A	N/A	Dutch	N/A
0154_1944-1945_00154-20230310_110755.jpg	1944/1945	Boheme	23/6/1945	N/A	Dutch	N/A
0155_1944-1945_00155-20230310_110804.jpg	1944/1945	N/A	N/A	N/A	Dutch	N/A
0156_1944-1945_00156-20230310_110812.jpg	1944/1945	Faust	24/6/1945	N/A	Dutch	N/A
0157_1944-1945_00157-20230310_110822.jpg	1944/1945	N/A	N/A	N/A	Dutch	N/A
0158_1944-1945_00158-20230310_110836.jpg	1944/1945	Aida	24/6/1945	N/A	Dutch	N/A
0159_1944-1945_00159-20230310_110845.jpg	1944/1945	N/A	N/A	N/A	Dutch	N/A
0160_1944-1945_00160-20230310_110852.jpg	1944/1945	Hoffman’s Vertellingen	26/6/1945	N/A	Dutch	N/A
0161_1944-1945_00161-20230310_110900.jpg	1944/1945	N/A	N/A	N/A	Dutch	N/A
0162_1944-1945_00162-20230310_110908.jpg	1944/1945	De Parelvisschers	28/6/1945	N/A	Dutch	N/A
0163_1944-1945_00163-20230310_110917.jpg	1944/1945	N/A	N/A	N/A	Dutch	N/A
0164_1944-1945_00164-20230310_110932.jpg	1944/1945	De Vledermuis	30/6/1945	N/A	Dutch	N/A
0165_1944-1945_00165-20230310_110953.jpg	1944/1945	N/A	N/A	N/A	Dutch	N/A
0166_1944-1945_00166-20230310_111002.jpg	1944/1945	N/A	N/A	N/A	Dutch	N/A
0167_1944-1945_00167-20230310_111018.jpg	1944/1945	N/A	N/A	N/A	Dutch	N/A
0168_1944-1945_00168-20230310_111026.jpg	1944/1945	Het Liedje van Leuven	1/7/1945	N/A	Dutch	N/A
0169_1944-1945_00170-20230310_111059.jpg	1944/1945	N/A	N/A	N/A	Dutch	N/A
0170_1944-1945_00170-20230310_111147.jpg	1944/1945	Cavalleria Rusticana + Paljas	1/7/1945	N/A	Dutch	N/A
0171_1944-1945_00171-20230310_111201.jpg	1944/1945	N/A	N/A	N/A	Dutch	N/A
0172_1944-1945_00172-20230310_111535.jpg	1944/1945	N/A	N/A	N/A	Dutch	N/A
0173_1944-1945_00173-20230310_111546.jpg	1944/1945	N/A	N/A	N/A	Dutch	N/A
0174_1944-1945_00174-20230310_111555.jpg	1944/1945	Faust	3/7/1945	Galavertooning ten bate der Sociale Diensten ‘Verminkten en Gekwetsten’ leden van N.K.V. derwelke weerstandsleden van N.K.B.	Dutch	N/A
0175_1944-1945_00175-20230310_111605.jpg	1944/1945	N/A	N/A	N/A	Dutch	N/A
0176_1944-1945_00176-20230310_111613.jpg	1944/1945	De Bruid der Zee	5/7/1945	N/A	Dutch	N/A
0177_1944-1945_00177-20230310_111636.jpg	1944/1945	N/A	N/A	N/A	Dutch	N/A
0178_1944-1945_00178-20230310_111644.jpg	1944/1945	Cavalleria Rusticana + Paljas	7/7/1945	N/A	Dutch	N/A
0179_1944-1945_00179-20230310_111657.jpg	1944/1945	N/A	N/A	N/A	Dutch	N/A
0180_1944-1945_00180-20230310_111749.jpg	1944/1945	De Vledermuis	8/7/1945	N/A	Dutch	N/A
0181_1944-1945_00181-20230310_111758.jpg	1944/1945	N/A	N/A	N/A	Dutch	N/A
0182_1944-1945_00182-20230310_111805.jpg	1944/1945	Zwarte Viooltjes 	8/7/1945	N/A	Dutch	N/A
0183_1944-1945_00183-20230310_111815.jpg	1944/1945	N/A	N/A	N/A	Dutch	N/A
0184_1944-1945_00184-20230310_111823.jpg	1944/1945	Het Liedje van Leuven	10/7/1945	N/A	Dutch	N/A
0185_1944-1945_00185-20230310_111830.jpg	1944/1945	N/A	N/A	N/A	Dutch	N/A
0186_1944-1945_00186-20230310_111837.jpg	1944/1945	Herodias	12/7/1945	N/A	Dutch	N/A
0187_1944-1945_00187-20230310_111847.jpg	1944/1945	N/A	N/A	N/A	Dutch	N/A
0188_1944-1945_00188-20230310_111855.jpg	1944/1945	Hoffman’s Vertellingen	14/7/1945	N/A	Dutch	N/A
0189_1944-1945_00189-20230310_111904.jpg	1944/1945	N/A	N/A	N/A	Dutch	N/A
0190_1944-1945_00190-20230310_111912.jpg	1944/1945	Herodias	15/7/1945	N/A	Dutch	N/A
0191_1944-1945_00191-20230310_111921.jpg	1944/1945	N/A	N/A	N/A	Dutch	N/A
0192_1944-1945_00192-20230310_111928.jpg	1944/1945	De Bruid der Zee	15/7/1945	N/A	Dutch	N/A
0193_1944-1945_00193-20230310_111937.jpg	1944/1945	N/A	N/A	N/A	Dutch	N/A
0194_1944-1945_00194-20230310_111945.jpg	1944/1945	De Vledermuis	17/7/1945	N/A	Dutch	N/A
0195_1944-1945_00195-20230310_111954.jpg	1944/1945	N/A	N/A	N/A	Dutch	N/A
0196_1944-1945_00196-20230310_112003.jpg	1944/1945	De Barbier van Sevilla	19/7/1945	N/A	Dutch	N/A
0197_1944-1945_00197-20230310_112022.jpg	1944/1945	N/A	N/A	N/A	Dutch	N/A
0198_1944-1945_00198-20230310_112030.jpg	1944/1945	Herodias	21/7/1945	N/A	Dutch	N/A
0199_1944-1945_00199-20230310_112045.jpg	1944/1945	N/A	N/A	N/A	Dutch	N/A
0200_1944-1945_00200-20230310_112053.jpg	1944/1945	Cavalleria Rusticana + Paljas	22/7/1945	N/A	Dutch	N/A
0201_1944-1945_00201-20230310_112103.jpg	1944/1945	N/A	N/A	N/A	Dutch	N/A
0202_1944-1945_00202-20230310_112110.jpg	1944/1945	Hoffman’s Vertellingen	22/7/1945	N/A	Dutch	N/A
0203_1944-1945_00203-20230310_112119.jpg	1944/1945	N/A	N/A	N/A	Dutch	N/A
0204_1944-1945_00204-20230310_112128.jpg	1944/1945	Madame Butterfly	24/7/1945	N/A	Dutch	N/A
0205_1944-1945_00205-20230310_112136.jpg	1944/1945	N/A	N/A	N/A	Dutch	N/A
0206_1944-1945_00206-20230310_112143.jpg	1944/1945	De Vledermuis	26/7/1945	N/A	Dutch	N/A
0207_1944-1945_00207-20230310_112152.jpg	1944/1945	N/A	N/A	N/A	Dutch	N/A
0208_1944-1945_00208-20230310_112159.jpg	1944/1945	Zwarte Viooltjes 	28/7/1945	N/A	Dutch	N/A
0209_1944-1945_00209-20230310_112208.jpg	1944/1945	N/A	N/A	N/A	Dutch	N/A
0210_1944-1945_00210-20230310_112216.jpg	1944/1945	De Barbier van Sevilla	29/7/1945	N/A	Dutch	N/A
0211_1944-1945_00211-20230310_112224.jpg	1944/1945	N/A	N/A	N/A	Dutch	N/A
0212_1944-1945_00212-20230310_112232.jpg	1944/1945	Herodias	29/7/1945	N/A	Dutch	N/A
0213_1944-1945_00213-20230310_112242.jpg	1944/1945	N/A	N/A	N/A	Dutch	N/A
0214_1944-1945_00214-20230310_112248.jpg	1944/1945	Aida	31/7/1945	Sluitingsvoorstelling	Dutch	N/A
0215_1944-1945_00215-20230310_112257.jpg	1944/1945	N/A	N/A	N/A	Dutch	N/A
0216_1944-1945_00216-20230310_112311.jpg	1944/1945	N/A	N/A	N/A	N/A	N/A
0217_1944-1945_00217-20230310_112319.jpg	1944/1945	N/A	N/A	N/A	N/A	N/A
0218_1944-1945_00218-20230310_112324.jpg	1944/1945	N/A	N/A	N/A	N/A	N/A
0219_1944-1945_00219-20230310_112339.jpg	1944/1945	N/A	N/A	N/A	N/A	N/A
0001_1945-1946_00001-20230310_112627.jpg	1945/1946	N/A	N/A	N/A	N/A	N/A
0002_1945-1946_00002-20230310_112637.jpg	1945/1946	N/A	N/A	N/A	N/A	N/A
0003_1945-1946_00003-20230310_112643.jpg	1945/1946	N/A	N/A	N/A	N/A	N/A
0004_1945-1946_00004-20230310_112657.jpg	1945/1946	N/A	N/A	N/A	N/A	N/A
0005_1945-1946_00005-20230310_112704.jpg	1945/1946	N/A	N/A	N/A	Dutch	N/A
0006_1945-1946_00006-20230310_112713.jpg	1945/1946	N/A	N/A	N/A	N/A	N/A
0007_1945-1946_00007-20230310_112719.jpg	1945/1946	N/A	N/A	N/A	Dutch	N/A
0008_1945-1946_00008-20230310_112740.jpg	1945/1946	N/A	N/A	N/A	Dutch	N/A
0009_1945-1946_00009-20230310_112755.jpg	1945/1946	N/A	N/A	N/A	Dutch	N/A
0010_1945-1946_00010-20230310_112826.jpg	1945/1946	N/A	N/A	N/A	Dutch	N/A
0011_1945-1946_00011-20230310_112835.jpg	1945/1946	N/A	N/A	N/A	Dutch	N/A
0012_1945-1946_00012-20230310_112858.jpg	1945/1946	N/A	N/A	N/A	Dutch	N/A
0013_1945-1946_00013-20230310_112908.jpg	1945/1946	N/A	N/A	N/A	Dutch	N/A
0014_1945-1946_00014-20230310_112920.jpg	1945/1946	N/A	N/A	N/A	Dutch	N/A
0015_1945-1946_00015-20230310_112921.jpg	1945/1946	N/A	N/A	N/A	Dutch	N/A
0016_1945-1946_00016-20230310_113002.jpg	1945/1946	N/A	N/A	N/A	Dutch	N/A
0017_1945-1946_00017-20230310_113037.jpg	1945/1946	N/A	N/A	N/A	Dutch	N/A
0018_1945-1946_00018-20230310_113048.jpg	1945/1946	N/A	N/A	N/A	Dutch	N/A
0019_1945-1946_00019-20230310_113052.jpg	1945/1946	N/A	N/A	N/A	Dutch	N/A
0020_1945-1946_00020-20230310_113101.jpg	1945/1946	N/A	N/A	N/A	Dutch	N/A
0021_1945-1946_00021-20230310_113105.jpg	1945/1946	N/A	N/A	N/A	Dutch	N/A
0022_1945-1946_00022-20230310_113129.jpg	1945/1946	N/A	N/A	N/A	Dutch	N/A
0023_1945-1946_00023-20230310_113139.jpg	1945/1946	N/A	N/A	N/A	Dutch	N/A
0024_1945-1946_00024-20230310_113144.jpg	1945/1946	N/A	N/A	N/A	Dutch	N/A
0025_1945-1946_00025-20230310_113155.jpg	1945/1946	N/A	N/A	N/A	Dutch	N/A
0026_1945-1946_00026-20230310_113201.jpg	1945/1946	N/A	N/A	N/A	Dutch	N/A
0027_1945-1946_00027-20230310_113210.jpg	1945/1946	N/A	N/A	N/A	Dutch	N/A
0028_1945-1946_00028-20230310_113214.jpg	1945/1946	N/A	N/A	N/A	Dutch	N/A
0029_1945-1946_00029-20230310_113222.jpg	1945/1946	N/A	N/A	N/A	Dutch	N/A
0030_1945-1946_00030-20230310_113225.jpg	1945/1946	N/A	N/A	N/A	Dutch	N/A
0031_1945-1946_00031-20230310_113233.jpg	1945/1946	N/A	N/A	N/A	Dutch	N/A
0032_1945-1946_00032-20230310_113236.jpg	1945/1946	N/A	N/A	N/A	Dutch	N/A
0033_1945-1946_00033-20230310_113242.jpg	1945/1946	N/A	N/A	N/A	Dutch	N/A
0034_1945-1946_00034-20230310_113246.jpg	1945/1946	N/A	N/A	N/A	Dutch	N/A
0035_1945-1946_00035-20230310_113253.jpg	1945/1946	Khowanstchina	29/9/1945	Eerste Nederlandsche opvoering + openingsvoorstelling	Dutch	N/A
0036_1945-1946_00036-20230310_113257.jpg	1945/1946	N/A	N/A	N/A	Dutch	N/A
0037_1945-1946_00037-20230310_113306.jpg	1945/1946	Lakmé	30/9/1945	N/A	Dutch	N/A
0038_1945-1946_00038-20230310_113313.jpg	1945/1946	N/A	N/A	N/A	Dutch	N/A
0039_1945-1946_00039-20230310_113320.jpg	1945/1946	Quinten Massys + Pierlala	30/9/1945	N/A	Dutch	N/A
0040_1945-1946_00040-20230310_113325.jpg	1945/1946	N/A	N/A	N/A	Dutch	N/A
0041_1945-1946_00041-20230310_113333.jpg	1945/1946	Walsdroom	2/10/1945	Gala B.H.H.S.A.	Dutch	N/A
0042_1945-1946_00042-20230310_113336.jpg	1945/1946	N/A	N/A	N/A	Dutch	N/A
0043_1945-1946_00043-20230310_113345.jpg	1945/1946	Lakmé	4/10/1945	N/A	Dutch	N/A
0044_1945-1946_00044-20230310_113353.jpg	1945/1946	N/A	N/A	N/A	Dutch	N/A
0045_1945-1946_00045-20230310_113504.jpg	1945/1946	Quinten Massys + Pierlala	6/10/1945	N/A	Dutch	N/A
0046_1945-1946_00046-20230310_113513.jpg	1945/1946	N/A	N/A	N/A	Dutch	N/A
0047_1945-1946_00047-20230310_113548.jpg	1945/1946	Walsdroom	7/10/1945	N/A	Dutch	N/A
0048_1945-1946_00048-20230310_113556.jpg	1945/1946	N/A	N/A	N/A	Dutch	N/A
0049_1945-1946_00049-20230310_113635.jpg	1945/1946	Khowanstchina	7/10/1945	N/A	Dutch	N/A
0050_1945-1946_00050-20230310_113641.jpg	1945/1946	N/A	N/A	N/A	Dutch	N/A
0051_1945-1946_00051-20230310_113701.jpg	1945/1946	Lakmé	9/10/1945	N/A	Dutch	N/A
0052_1945-1946_00052-20230310_113709.jpg	1945/1946	N/A	N/A	N/A	Dutch	N/A
0053_1945-1946_00053-20230310_113719.jpg	1945/1946	Khowanstchina	11/10/1945	N/A	Dutch	N/A
0054_1945-1946_00054-20230310_113726.jpg	1945/1946	N/A	N/A	N/A	Dutch	N/A
0055_1945-1946_00055-20230310_113735.jpg	1945/1946	Lakmé	13/10/1945	N/A	Dutch	N/A
0056_1945-1946_00056-20230310_113742.jpg	1945/1946	N/A	N/A	N/A	Dutch	N/A
0057_1945-1946_00057-20230310_113753.jpg	1945/1946	Khowanstchina	14/10/1945	N/A	Dutch	N/A
0058_1945-1946_00058-20230310_113759.jpg	1945/1946	N/A	N/A	N/A	Dutch	N/A
0059_1945-1946_00059-20230310_113811.jpg	1945/1946	Walsdroom	14/10/1945	N/A	Dutch	N/A
0060_1945-1946_00060-20230310_113817.jpg	1945/1946	N/A	N/A	N/A	Dutch	N/A
0061_1945-1946_00061-20230310_113828.jpg	1945/1946	Walsdroom	16/10/1945	N/A	Dutch	N/A
0062_1945-1946_00062-20230310_113834.jpg	1945/1946	N/A	N/A	N/A	Dutch	N/A
0063_1945-1946_00063-20230310_113916.jpg	1945/1946	Fidelio	18/10/1945	N/A	Dutch	N/A
0064_1945-1946_00064-20230310_113923.jpg	1945/1946	N/A	N/A	N/A	Dutch	N/A
0065_1945-1946_00065-20230310_113934.jpg	1945/1946	Walsdroom	20/10/1945	N/A	Dutch	N/A
0066_1945-1946_00066-20230310_113939.jpg	1945/1946	N/A	N/A	N/A	Dutch	N/A
0067_1945-1946_00067-20230310_113949.jpg	1945/1946	Fidelio	21/10/1945	N/A	Dutch	N/A
0068_1945-1946_00068-20230310_113956.jpg	1945/1946	N/A	N/A	N/A	Dutch	N/A
0069_1945-1946_00069-20230310_114006.jpg	1945/1946	Tosca + ‘s Toovenaars Leerknaap	21/10/1945	N/A	Dutch	N/A
0070_1945-1946_00070-20230310_114025.jpg	1945/1946	N/A	N/A	N/A	Dutch	N/A
0071_1945-1946_00071-20230310_114041.jpg	1945/1946	Carmen	23/10/1945	N/A	Dutch	N/A
0072_1945-1946_00072-20230310_114053.jpg	1945/1946	N/A	N/A	N/A	Dutch	N/A
0073_1945-1946_00073-20230310_114104.jpg	1945/1946	Walsdroom	25/10/1945	N/A	Dutch	N/A
0074_1945-1946_00074-20230310_114110.jpg	1945/1946	N/A	N/A	N/A	Dutch	N/A
0075_1945-1946_00075-20230310_114133.jpg	1945/1946	Tosca + ‘s Toovenaars Leerknaap	27/10/1945	N/A	Dutch	N/A
0076_1945-1946_00076-20230310_114139.jpg	1945/1946	N/A	N/A	N/A	Dutch	N/A
0077_1945-1946_00077-20230310_114147.jpg	1945/1946	Quinten Massys + Pierlala	28/10/1945	N/A	Dutch	N/A
0078_1945-1946_00078-20230310_114153.jpg	1945/1946	N/A	N/A	N/A	Dutch	N/A
0079_1945-1946_00079-20230310_114244.jpg	1945/1946	Lakmé	28/10/1945	N/A	Dutch	N/A
0080_1945-1946_00080-20230310_114250.jpg	1945/1946	N/A	N/A	N/A	Dutch	N/A
0081_1945-1946_00081-20230310_114306.jpg	1945/1946	Madame Butterfly + ‘s Toovenaars Leerknaap	30/10/1945	N/A	Dutch	N/A
0082_1945-1946_00082-20230310_114312.jpg	1945/1946	N/A	N/A	N/A	Dutch	N/A
0083_1945-1946_00083-20230310_114333.jpg	1945/1946	Quinten Massys + Pierlala	1/11/1945	N/A	Dutch	N/A
0084_1945-1946_00084-20230310_114339.jpg	1945/1946	N/A	N/A	N/A	Dutch	N/A
0085_1945-1946_00085-20230310_114404.jpg	1945/1946	Carmen	3/11/1945	N/A	Dutch	N/A
0086_1945-1946_00086-20230310_114409.jpg	1945/1946	N/A	N/A	N/A	Dutch	N/A
0087_1945-1946_00087-20230310_114423.jpg	1945/1946	Traviata	4/11/1945	N/A	Dutch	N/A
0088_1945-1946_00088-20230310_114428.jpg	1945/1946	N/A	N/A	N/A	Dutch	N/A
0089_1945-1946_00089-20230310_114447.jpg	1945/1946	Fidelio	4/11/1945	N/A	Dutch	N/A
0090_1945-1946_00090-20230310_114452.jpg	1945/1946	N/A	N/A	N/A	Dutch	N/A
0091_1945-1946_00091-20230310_114516.jpg	1945/1946	Traviata	6/11/1945	N/A	Dutch	N/A
0092_1945-1946_00092-20230310_114524.jpg	1945/1946	N/A	N/A	N/A	Dutch	N/A
0093_1945-1946_00093-20230310_114600.jpg	1945/1946	Madame Butterfly + ‘s Toovenaars Leerknaap	8/11/1945	N/A	Dutch	N/A
0094_1945-1946_00094-20230310_114607.jpg	1945/1946	N/A	N/A	N/A	Dutch	N/A
0095_1945-1946_00095-20230310_114918.jpg	1945/1946	Iphigeneia in Tauris	10/11/1945	Eerste Nederlandsche opvoering	Dutch	N/A
0096_1945-1946_00096-20230310_114923.jpg	1945/1946	N/A	N/A	N/A	Dutch	N/A
0097_1945-1946_00097-20230310_114950.jpg	1945/1946	Carmen	11/11/1945	N/A	Dutch	N/A
0098_1945-1946_00098-20230310_114956.jpg	1945/1946	N/A	N/A	N/A	Dutch	N/A
0099_1945-1946_00099-20230310_115023.jpg	1945/1946	Madame Butterfly	11/11/1945	N/A	Dutch	N/A
0100_1945-1946_00100-20230310_115029.jpg	1945/1946	N/A	N/A	N/A	Dutch	N/A
0101_1945-1946_00101-20230310_115059.jpg	1945/1946	Walsdroom	13/11/1945	N/A	Dutch	N/A
0102_1945-1946_00102-20230310_115105.jpg	1945/1946	N/A	N/A	N/A	Dutch	N/A
0103_1945-1946_00103-20230310_115129.jpg	1945/1946	Iphigeneia in Tauris	15/11/1945	N/A	Dutch	N/A
0104_1945-1946_00104-20230310_115134.jpg	1945/1946	N/A	N/A	N/A	Dutch	N/A
0105_1945-1946_00105-20230310_115202.jpg	1945/1946	Fidelio	17/11/1945	N/A	Dutch	N/A
0106_1945-1946_00106-20230310_115210.jpg	1945/1946	N/A	N/A	N/A	Dutch	N/A
0107_1945-1946_00107-20230310_115226.jpg	1945/1946	Tosca + ‘s Toovenaars Leerknaap	18/11/1945	N/A	Dutch	N/A
0108_1945-1946_00108-20230310_115232.jpg	1945/1946	N/A	N/A	N/A	Dutch	N/A
0109_1945-1946_00109-20230310_115304.jpg	1945/1946	Traviata	18/11/1945	N/A	Dutch	N/A
0110_1945-1946_00110-20230310_115311.jpg	1945/1946	N/A	N/A	N/A	Dutch	N/A
0111_1945-1946_00111-20230310_115350.jpg	1945/1946	Khowanstchina	20/11/1945	N/A	Dutch	N/A
0112_1945-1946_00112-20230310_115356.jpg	1945/1946	N/A	N/A	N/A	Dutch	N/A
0113_1945-1946_00113-20230310_115535.jpg	1945/1946	Tosca	22/11/1945	N/A	Dutch	N/A
0114_1945-1946_00114-20230310_115541.jpg	1945/1946	N/A	N/A	N/A	Dutch	N/A
0115_1945-1946_00115-20230310_115617.jpg	1945/1946	Khowanstchina	24/11/1945	N/A	Dutch	N/A
0116_1945-1946_00116-20230310_115623.jpg	1945/1946	N/A	N/A	N/A	Dutch	N/A
0117_1945-1946_00117-20230310_115642.jpg	1945/1946	Madame Butterfly	25/11/1945	N/A	Dutch	N/A
0118_1945-1946_00118-20230310_115648.jpg	1945/1946	N/A	N/A	N/A	Dutch	N/A
0119_1945-1946_00119-20230310_115717.jpg	1945/1946	Lohengrin	25/11/1945	N/A	Dutch	N/A
0120_1945-1946_00120-20230310_115725.jpg	1945/1946	N/A	N/A	N/A	Dutch	N/A
0121_1945-1946_00121-20230310_115734.jpg	1945/1946	Madame Butterfly + ‘s Toovenaars Leerknaap	27/11/1945	N/A	Dutch	N/A
0122_1945-1946_00122-20230310_115740.jpg	1945/1946	N/A	N/A	N/A	Dutch	N/A
0123_1945-1946_00123-20230310_115823.jpg	1945/1946	Traviata	29/11/1945	N/A	Dutch	N/A
0124_1945-1946_00124-20230310_115835.jpg	1945/1946	N/A	N/A	N/A	Dutch	N/A
0125_1945-1946_00125-20230310_115850.jpg	1945/1946	Lohengrin	1/12/1945	N/A	Dutch	N/A
0126_1945-1946_00126-20230310_115902.jpg	1945/1946	N/A	N/A	N/A	Dutch	N/A
0127_1945-1946_00127-20230310_115952.jpg	1945/1946	Iphigeneia in Tauris	2/12/1945	N/A	Dutch	N/A
0128_1945-1946_00128-20230310_120003.jpg	1945/1946	N/A	N/A	N/A	Dutch	N/A
0129_1945-1946_00129-20230310_120023.jpg	1945/1946	Carmen	2/12/1945	N/A	Dutch	N/A
0130_1945-1946_00130-20230310_120029.jpg	1945/1946	N/A	N/A	N/A	Dutch	N/A
0131_1945-1946_00131-20230310_120101.jpg	1945/1946	Tosca + ‘s Toovenaars Leerknaap	4/12/1945	N/A	Dutch	N/A
0132_1945-1946_00132-20230310_120107.jpg	1945/1946	N/A	N/A	N/A	Dutch	N/A
0133_1945-1946_00133-20230310_120132.jpg	1945/1946	Lakmé	6/12/1945	N/A	Dutch	N/A
0134_1945-1946_00134-20230310_120143.jpg	1945/1946	N/A	N/A	N/A	Dutch	N/A
0135_1945-1946_00135-20230310_120217.jpg	1945/1946	Traviata	8/12/1945	N/A	Dutch	N/A
0136_1945-1946_00136-20230310_120223.jpg	1945/1946	N/A	N/A	N/A	Dutch	N/A
