,Image,Collection,Production,Date,Occasion,Leaflet_Language,Opmerking,Multiple bill,Performances_ID,Normalised title,Original language,Composer,Original premiere,Original title,genre,Title_Language,Season
4911,0519_1942-1943_00519-20230306_134835.jpg,1942-1943,Faust,1943-04-15,,Dutch,,False,644454,Faust,FR,Charles Gounod,1859,Faust,grand opera,Unk,1942-1943
4915,0523_1942-1943_00523-20230306_134906.jpg,1942-1943,Heibieke,1943-04-17,Creatie van de nieuwe versie van Heibieke,Dutch,,True,589561,Heibieke,NL,Edward Verheyden,?,Heibieke,?,Unk,1942-1943
4916,0523_1942-1943_00523-20230306_134906.jpg,1942-1943,‘t Minnebrugje,1943-04-17,Creatie van de nieuwe versie van Heibieke,Dutch,,True,589561,‘t Minnebrugje,N/A,N/A,N/A,N/A,N/A,N/A,1942-1943
4920,0526_1942-1943_00526-20230306_134951.jpg,1942-1943,Heibieke,1943-04-18,,Dutch,,True,615813,Heibieke,NL,Edward Verheyden,?,Heibieke,?,Unk,1942-1943
4921,0526_1942-1943_00526-20230306_134951.jpg,1942-1943,‘t Minnebrugje,1943-04-18,,Dutch,,True,615813,‘t Minnebrugje,N/A,N/A,N/A,N/A,N/A,N/A,1942-1943
4923,0528_1942-1943_00528-20230306_135008.jpg,1942-1943,Figaro’s Bruiloft,1943-04-18,,Dutch,,False,915210,Figaro’s Bruiloft,N/A,N/A,N/A,N/A,N/A,N/A,1942-1943
4925,0530_1942-1943_00530-20230306_135030.jpg,1942-1943,De Vledermuis,1943-04-20,,Dutch,,False,973530,De Vledermuis,DUI,Johan Strauss,1874,Die Fledermaus,operetta,NL,1942-1943
4927,0532_1942-1943_00532-20230306_135105.jpg,1942-1943,Parsifal,1943-04-23,,Dutch,,False,675329,Parsifal,DUI,Richard Wagner,1882,Parsifal,music drama,Unk,1942-1943
4931,0536_1942-1943_00536-20230306_135134.jpg,1942-1943,Boheme,1943-04-24,,Dutch,,False,617731,Bohème,ITA,Giacomo Puccini,1897,La bohème,verismo opera,Unk,1942-1943
4935,0540_1942-1943_00540-20230306_135203.jpg,1942-1943,Madame Butterfly,1943-04-25,,Dutch,,False,592811,Madame Butterfly,ITA,Giacomo Puccini,1904,Madama Butterfly,opera seria,NL,1942-1943
4937,0542_1942-1943_00542-20230306_135223.jpg,1942-1943,Heibieke,1943-04-25,,Dutch,,True,738843,Heibieke,NL,Edward Verheyden,?,Heibieke,?,Unk,1942-1943
4938,0542_1942-1943_00542-20230306_135223.jpg,1942-1943,‘t Minnebrugje,1943-04-25,,Dutch,,True,738843,‘t Minnebrugje,N/A,N/A,N/A,N/A,N/A,N/A,1942-1943
4942,0546_1942-1943_00546-20230306_135251.jpg,1942-1943,De Walkure,1943-04-26,,Dutch,,False,238333,De Walkure,DUI,Richard Wagner,1874,Die Walküre,gesamtkunstwerk,NL,1942-1943
4944,0548_1942-1943_00548-20230306_135308.jpg,1942-1943,Cavalleria Rusticana,1943-04-27,,Dutch,,True,803195,Cavalleria Rusticana,ITA,Pietro Mascagni,1890,Cavalleria rusticana,?,ITA,1942-1943
4945,0548_1942-1943_00548-20230306_135308.jpg,1942-1943,Paljas,1943-04-27,,Dutch,,True,803195,Paljas,ITA,Ruggiero Leoncavallo,1892,Pagliacci,verisme,Unk,1942-1943
4947,0550_1942-1943_00550-20230306_135349.jpg,1942-1943,De Barbier van Sevilla,1943-04-29,,Dutch,,False,862451,De Barbier van Sevilla,ITA,Giovanni Paisiello,1782,Il barbiere di Siviglia,opera buffa,NL,1942-1943
4949,0552_1942-1943_00552-20230306_135405.jpg,1942-1943,Cavalleria Rusticana,1943-05-01,,Dutch,,True,994330,Cavalleria Rusticana,ITA,Pietro Mascagni,1890,Cavalleria rusticana,?,ITA,1942-1943
4950,0552_1942-1943_00552-20230306_135405.jpg,1942-1943,Paljas,1943-05-01,,Dutch,,True,994330,Paljas,ITA,Ruggiero Leoncavallo,1892,Pagliacci,verisme,Unk,1942-1943
4952,0554_1942-1943_00554-20230306_135425.jpg,1942-1943,Traviata,1943-05-02,,Dutch,,False,139376,Traviata,ITA,Giuseppe Verdi,1853,La traviata,opera semiseria,Unk,1942-1943
4954,0556_1942-1943_00556-20230306_135445.jpg,1942-1943,Tosca,1943-05-02,,Dutch,,False,458911,Tosca,ITA,Giacomo Puccini,1900,Tosca,verismo opera,Unk,1942-1943
4958,0560_1942-1943_00560-20230306_135522.jpg,1942-1943,Heibieke,1943-05-06,,Dutch,,True,824060,Heibieke,NL,Edward Verheyden,?,Heibieke,?,Unk,1942-1943
4959,0560_1942-1943_00560-20230306_135522.jpg,1942-1943,‘t Minnebrugje,1943-05-06,,Dutch,,True,824060,‘t Minnebrugje,N/A,N/A,N/A,N/A,N/A,N/A,1942-1943
4961,0562_1942-1943_00562-20230306_135538.jpg,1942-1943,Godendeemstering,1943-05-08,,Dutch,,False,331327,Götterdämmerung,N/A,N/A,N/A,N/A,N/A,N/A,1942-1943
4965,0566_1942-1943_00566-20230306_135719.jpg,1942-1943,Faust,1943-05-09,,Dutch,,False,757251,Faust,FR,Charles Gounod,1859,Faust,grand opera,Unk,1942-1943
4967,0568_1942-1943_00569-20230306_135738.jpg,1942-1943,De Barbier van Sevilla,1943-05-09,,Dutch,,False,619060,De Barbier van Sevilla,ITA,Giovanni Paisiello,1782,Il barbiere di Siviglia,opera buffa,NL,1942-1943
4969,0570_1942-1943_00570-20230306_135830.jpg,1942-1943,Het Land van den Glimlach,1943-05-11,,Dutch,,False,526137,Het Land van den Glimlach,DUI,Franz Lehár,1923,Das Land des Lächelns,leichte oper,NL,1942-1943
4971,0572_1942-1943_00572-20230306_135846.jpg,1942-1943,Madame Butterfly,1943-05-12,Wehrmachsvorstellung,German,,False,543496,Madame Butterfly,ITA,Giacomo Puccini,1904,Madama Butterfly,opera seria,NL,1942-1943
4973,0574_1942-1943_00574-20230306_135908.jpg,1942-1943,Traviata,1943-05-13,,Dutch,,False,916961,Traviata,ITA,Giuseppe Verdi,1853,La traviata,opera semiseria,Unk,1942-1943
4977,0578_1942-1943_00578-20230306_135934.jpg,1942-1943,Madame Butterfly,1943-05-14,Wehrmachsvorstellung,German,,False,117718,Madame Butterfly,ITA,Giacomo Puccini,1904,Madama Butterfly,opera seria,NL,1942-1943
4979,0580_1942-1943_00580-20230306_135951.jpg,1942-1943,Tosca,1943-05-15,,Dutch,,True,911384,Tosca,ITA,Giacomo Puccini,1900,Tosca,verismo opera,Unk,1942-1943
4980,0580_1942-1943_00580-20230306_135951.jpg,1942-1943,De Koekoek,1943-05-15,,Dutch,,True,911384,De Koekoek,N/A,Jaak Opsomer,?,De Koekoek,ballet,NL,1942-1943
4984,0584_1942-1943_00584-20230306_140017.jpg,1942-1943,De Lustige Weduwe,1943-05-16,,Dutch,,False,129697,De Lustige Weduwe,DUI,Franz Lehár,1906,Die lustige Witwe,operette,NL,1942-1943
4986,0586_1942-1943_00586-20230306_140115.jpg,1942-1943,Traviata,1943-05-16,,Dutch,,False,185831,Traviata,ITA,Giuseppe Verdi,1853,La traviata,opera semiseria,Unk,1942-1943
4990,0590_1942-1943_00590-20230306_140156.jpg,1942-1943,Faust,1943-05-18,,Dutch,,False,654072,Faust,FR,Charles Gounod,1859,Faust,grand opera,Unk,1942-1943
4992,0592_1942-1943_00592-20230306_140216.jpg,1942-1943,De Vledermuis,1943-05-20,,Dutch,,False,682199,De Vledermuis,DUI,Johan Strauss,1874,Die Fledermaus,operetta,NL,1942-1943
4996,0596_1942-1943_00596-20230306_140247.jpg,1942-1943,De Tooverfluit,1943-05-22,,Dutch,,False,720636,De Tooverfluit,DUI,Wolfgang Amadeus Mozart,1791,Die Zauberflöte,zangspel,NL,1942-1943
5000,0600_1942-1943_00600-20230306_140445.jpg,1942-1943,Tosca,1943-05-23,,Dutch,,False,143310,Tosca,ITA,Giacomo Puccini,1900,Tosca,verismo opera,Unk,1942-1943
5004,0604_1942-1943_00604-20230306_140512.jpg,1942-1943,Het Meisje van Arles,1943-05-23,,Dutch,,False,579277,Het Meisje van Arles,FR,Georges Bizete,1872,L’Arlésienne,zangspel,NL,1942-1943
5006,0606_1942-1943_00606-20230306_140527.jpg,1942-1943,Het Meisje van Arles,1943-05-25,,Dutch,,False,180402,Het Meisje van Arles,FR,Georges Bizete,1872,L’Arlésienne,zangspel,NL,1942-1943
5008,0608_1942-1943_00608-20230306_140601.jpg,1942-1943,Tosca,1943-05-27,,Dutch,,True,847110,Tosca,ITA,Giacomo Puccini,1900,Tosca,verismo opera,Unk,1942-1943
5009,0608_1942-1943_00608-20230306_140601.jpg,1942-1943,De Koekoek,1943-05-27,,Dutch,,True,847110,De Koekoek,N/A,Jaak Opsomer,?,De Koekoek,ballet,NL,1942-1943
5011,0610_1942-1943_00610-20230306_140619.jpg,1942-1943,Godendeemstering,1943-05-29,,Dutch,,False,154283,Götterdämmerung,N/A,N/A,N/A,N/A,N/A,N/A,1942-1943
5015,0614_1942-1943_00614-20230306_140646.jpg,1942-1943,Het Meisje van Arles,1943-05-30,,Dutch,,False,563091,Het Meisje van Arles,FR,Georges Bizete,1872,L’Arlésienne,zangspel,NL,1942-1943
5017,0616_1942-1943_00616-20230306_140703.jpg,1942-1943,Faust,1943-05-30,,Dutch,,False,425353,Faust,FR,Charles Gounod,1859,Faust,grand opera,Unk,1942-1943
5019,0618_1942-1943_00618-20230306_140721.jpg,1942-1943,Het Meisje van Arles,1943-06-01,,Dutch,,False,319035,Het Meisje van Arles,FR,Georges Bizete,1872,L’Arlésienne,zangspel,NL,1942-1943
5021,0620_1942-1943_00620-20230306_140737.jpg,1942-1943,Die Zauberflöte,1943-06-02,,German,,False,173734,De Tooverfluit,DUI,Wolfgang Amadeus Mozart,1791,Die Zauberflöte,zangspel,NL,1942-1943
5023,0622_1942-1943_00622-20230306_140812.jpg,1942-1943,Carmen,1943-06-03,,Dutch,,False,215623,Carmen,FR,Georges Bizet,1875,Carmen,opéra comique,Unk,1942-1943
5025,0624_1942-1943_00624-20230306_140832.jpg,1942-1943,Die Zauberflöte,1943-06-04,,German,,False,651844,De Tooverfluit,DUI,Wolfgang Amadeus Mozart,1791,Die Zauberflöte,zangspel,NL,1942-1943
5027,0626_1942-1943_00626-20230306_140849.jpg,1942-1943,Het Meisje van Arles,1943-06-05,,Dutch,,False,707937,Het Meisje van Arles,FR,Georges Bizete,1872,L’Arlésienne,zangspel,NL,1942-1943
5029,0628_1942-1943_00628-20230306_140913.jpg,1942-1943,De Barbier van Sevilla,1943-06-06,,Dutch,,False,643401,De Barbier van Sevilla,ITA,Giovanni Paisiello,1782,Il barbiere di Siviglia,opera buffa,NL,1942-1943
5031,0630_1942-1943_00630-20230306_140931.jpg,1942-1943,Heibieke,1943-06-06,,Dutch,,True,739479,Heibieke,NL,Edward Verheyden,?,Heibieke,?,Unk,1942-1943
5032,0630_1942-1943_00630-20230306_140931.jpg,1942-1943,Feestdag op het Land,1943-06-06,,Dutch,,True,739479,Feestdag op het Land,N/A,J.A. Zwijsen,?,?,ballet,NL,1942-1943
5033,0630_1942-1943_00630-20230306_140931.jpg,1942-1943,De Koekoek,1943-06-06,,Dutch,,True,739479,De Koekoek,N/A,Jaak Opsomer,?,De Koekoek,ballet,NL,1942-1943
5035,0632_1942-1943_00632-20230306_140948.jpg,1942-1943,Het Land van den Glimlach,1943-06-08,,Dutch,,False,556332,Het Land van den Glimlach,DUI,Franz Lehár,1923,Das Land des Lächelns,leichte oper,NL,1942-1943
5039,0636_1942-1943_00636-20230306_141017.jpg,1942-1943,De Vledermuis,1943-06-10,,Dutch,,False,619162,De Vledermuis,DUI,Johan Strauss,1874,Die Fledermaus,operetta,NL,1942-1943
5043,0640_1942-1943_00640-20230306_141046.jpg,1942-1943,Rijngoud,1943-06-12,Hansa-Kultuurdagen der Steden Antwerpen en Keulen,Dutch,,False,291074,Het Rijngoud,DUI,Richard Wagner,1869,Das Rheingold,gesamtkunstwerk,NL,1942-1943
5047,0644_1942-1943_00644-20230306_141122.jpg,1942-1943,Madame Butterfly,1943-06-13,,Dutch,,False,153696,Madame Butterfly,ITA,Giacomo Puccini,1904,Madama Butterfly,opera seria,NL,1942-1943
5051,0648_1942-1943_00648-20230306_141201.jpg,1942-1943,De Walkure,1943-06-13,Hansa-Kultuurdagen der Steden Antwerpen en Keulen,Dutch,,False,381444,De Walkure,DUI,Richard Wagner,1874,Die Walküre,gesamtkunstwerk,NL,1942-1943
5055,0652_1942-1943_00652-20230306_141230.jpg,1942-1943,Siegfried,1943-06-15,Hansa-Kultuurdagen der Steden Antwerpen en Keulen,Dutch,,False,539848,Siegfried,DUI,Richard Wagner,1871,Siegfried,gesamtkunstwerk,Unk,1942-1943
5059,0656_1942-1943_00656-20230306_141314.jpg,1942-1943,Godendeemstering,1943-06-17,Hansa-Kultuurdagen der Steden Antwerpen en Keulen,Dutch,,False,629538,Götterdämmerung,N/A,N/A,N/A,N/A,N/A,N/A,1942-1943
5063,0660_1942-1943_00660-20230306_141339.jpg,1942-1943,De Rozenkavalier,1943-06-19,,Dutch,,False,659382,De Rozenkavalier,DUI,Richard Strauss,1911,Der Rosenkavalier,comic-fantasy,NL,1942-1943
5067,0664_1942-1943_00664-20230306_141405.jpg,1942-1943,Fanny Elssler,1943-06-20,,Dutch,,False,658946,Fanny Elssler,DUI,Johan Strauss II,1934,Die Tänzerin Fanny Elßler,operette,Unk,1942-1943
5071,0668_1942-1943_00668-20230306_141433.jpg,1942-1943,Schwanhild,1943-06-20,Hansa-Kultuurdagen der Steden Antwerpen en Keulen + Gastoptreden van de Opera van Keulen,Dutch,,False,141505,Zwaanhild,DUI,Paul Graener,1942,Schwanhild,romantische oper,NL,1942-1943
5075,0672_1942-1943_00672-20230306_141523.jpg,1942-1943,Carmen,1943-06-22,,Dutch,,False,322695,Carmen,FR,Georges Bizet,1875,Carmen,opéra comique,Unk,1942-1943
5079,0676_1942-1943_00676-20230306_141549.jpg,1942-1943,Der Freischütz,1943-06-23,Vorstellung für der Wehrmacht,German,,False,678560,De Vrijschutter,DUI,Carl Maria von Weber,1821,Der Freischütz,romantische oper,NL,1942-1943
5081,0678_1942-1943_00678-20230306_141605.jpg,1942-1943,Het Meisje van Arles,1943-06-24,,Dutch,,False,562166,Het Meisje van Arles,FR,Georges Bizete,1872,L’Arlésienne,zangspel,NL,1942-1943
5083,0680_1942-1943_00680-20230306_141619.jpg,1942-1943,De Barbier van Sevilla,1943-06-26,,Dutch,,False,809895,De Barbier van Sevilla,ITA,Giovanni Paisiello,1782,Il barbiere di Siviglia,opera buffa,NL,1942-1943
5087,0684_1942-1943_00684-20230306_141644.jpg,1942-1943,Heibieke,1943-06-27,,Dutch,,True,338337,Heibieke,NL,Edward Verheyden,?,Heibieke,?,Unk,1942-1943
5088,0684_1942-1943_00684-20230306_141644.jpg,1942-1943,Feestdag op het Land,1943-06-27,,Dutch,,True,338337,Feestdag op het Land,N/A,J.A. Zwijsen,?,?,ballet,NL,1942-1943
5089,0684_1942-1943_00684-20230306_141644.jpg,1942-1943,De Koekoek,1943-06-27,,Dutch,,True,338337,De Koekoek,N/A,Jaak Opsomer,?,De Koekoek,ballet,NL,1942-1943
5093,0688_1942-1943_00688-20230306_141709.jpg,1942-1943,De Tooverfluit,1943-06-27,,Dutch,,False,125854,De Tooverfluit,DUI,Wolfgang Amadeus Mozart,1791,Die Zauberflöte,zangspel,NL,1942-1943
5097,0692_1942-1943_00692-20230306_141735.jpg,1942-1943,Die Fledermaus,1943-06-28,Vorstellung für der Wehrmacht,German,,False,688431,De Vledermuis,DUI,Johan Strauss,1874,Die Fledermaus,operetta,NL,1942-1943
5099,0694_1942-1943_00694-20230306_141751.jpg,1942-1943,De Lustige Weduwe,1943-06-29,,Dutch,,False,236629,De Lustige Weduwe,DUI,Franz Lehár,1906,Die lustige Witwe,operette,NL,1942-1943
5103,0698_1942-1943_00698-20230306_141830.jpg,1942-1943,Die Fledermaus,1943-06-30,Vorstellung für der Wehrmacht,German,,False,328797,De Vledermuis,DUI,Johan Strauss,1874,Die Fledermaus,operetta,NL,1942-1943
5105,0700_1942-1943_00700-20230306_141846.jpg,1942-1943,De Tooverfluit,1943-07-01,,Dutch,,False,976409,De Tooverfluit,DUI,Wolfgang Amadeus Mozart,1791,Die Zauberflöte,zangspel,NL,1942-1943
5107,0702_1942-1943_00702-20230306_141903.jpg,1942-1943,Monika,1943-07-03,Eerste opvoering,Dutch,,False,858230,Monika,DUI,Nico Dostal,1937,Monika,operette,Unk,1942-1943
5111,0706_1942-1943_00706-20230306_141931.jpg,1942-1943,Monika,1943-07-04,,Dutch,,False,350304,Monika,DUI,Nico Dostal,1937,Monika,operette,Unk,1942-1943
5115,0710_1942-1943_00710-20230306_141957.jpg,1942-1943,Cavalleria Rusticana,1943-07-04,,Dutch,,True,621470,Cavalleria Rusticana,ITA,Pietro Mascagni,1890,Cavalleria rusticana,?,ITA,1942-1943
5116,0710_1942-1943_00710-20230306_141957.jpg,1942-1943,Paljas,1943-07-04,,Dutch,,True,621470,Paljas,ITA,Ruggiero Leoncavallo,1892,Pagliacci,verisme,Unk,1942-1943
5121,0714_1942-1943_00714-20230306_142024.jpg,1942-1943,De Lustige Weduwe,1943-07-05,,Dutch,,False,848062,De Lustige Weduwe,DUI,Franz Lehár,1906,Die lustige Witwe,operette,NL,1942-1943
5123,0716_1942-1943_00716-20230306_142044.jpg,1942-1943,Monika,1943-07-06,,Dutch,,False,530829,Monika,DUI,Nico Dostal,1937,Monika,operette,Unk,1942-1943
5127,0720_1942-1943_00720-20230306_142115.jpg,1942-1943,Monika,1943-07-08,,Dutch,,False,697378,Monika,DUI,Nico Dostal,1937,Monika,operette,Unk,1942-1943
5129,0722_1942-1943_00722-20230306_142207.jpg,1942-1943,Carmen,1943-07-10,,Dutch,,False,591859,Carmen,FR,Georges Bizet,1875,Carmen,opéra comique,Unk,1942-1943
5131,0724_1942-1943_00724-20230306_142228.jpg,1942-1943,De Tooverfluit,1943-07-11,,Dutch,,False,767348,De Tooverfluit,DUI,Wolfgang Amadeus Mozart,1791,Die Zauberflöte,zangspel,NL,1942-1943
5133,0726_1942-1943_00726-20230306_142244.jpg,1942-1943,Monika,1943-07-11,,Dutch,,False,386680,Monika,DUI,Nico Dostal,1937,Monika,operette,Unk,1942-1943
5135,0728_1942-1943_00728-20230306_142259.jpg,1942-1943,Het Land van den Glimlach,1943-07-13,,Dutch,,False,763081,Het Land van den Glimlach,DUI,Franz Lehár,1923,Das Land des Lächelns,leichte oper,NL,1942-1943
5137,0730_1942-1943_00730-20230306_142317.jpg,1942-1943,Cavalleria Rusticana,1943-07-15,,Dutch,,True,218422,Cavalleria Rusticana,ITA,Pietro Mascagni,1890,Cavalleria rusticana,?,ITA,1942-1943
5138,0730_1942-1943_00730-20230306_142317.jpg,1942-1943,Paljas,1943-07-15,,Dutch,,True,218422,Paljas,ITA,Ruggiero Leoncavallo,1892,Pagliacci,verisme,Unk,1942-1943
5140,0732_1942-1943_00732-20230306_142333.jpg,1942-1943,De Graaf van Luxemburg,1943-07-17,,Dutch,,False,746367,De Graaf van Luxemburg,DUI,Franz Lehár,1909,Der Graf von Luxemburg,operette,NL,1942-1943
5142,0734_1942-1943_00734-20230306_142347.jpg,1942-1943,De Graaf van Luxemburg,1943-07-18,,Dutch,,False,293151,De Graaf van Luxemburg,DUI,Franz Lehár,1909,Der Graf von Luxemburg,operette,NL,1942-1943
5144,0736_1942-1943_00736-20230306_142408.jpg,1942-1943,Rijngoud,1943-07-18,,Dutch,,False,252987,Het Rijngoud,DUI,Richard Wagner,1869,Das Rheingold,gesamtkunstwerk,NL,1942-1943
5146,0738_1942-1943_00738-20230306_142423.jpg,1942-1943,Der Graf von Luxemburg,1943-07-19,Wehrmachsvorstellung,German,,False,898168,De Graaf van Luxemburg,DUI,Franz Lehár,1909,Der Graf von Luxemburg,operette,NL,1942-1943
5148,0740_1942-1943_00740-20230306_142437.jpg,1942-1943,Het Land van den Glimlach,1943-07-20,,Dutch,,False,234290,Het Land van den Glimlach,DUI,Franz Lehár,1923,Das Land des Lächelns,leichte oper,NL,1942-1943
5150,0742_1942-1943_00742-20230306_142451.jpg,1942-1943,Der Graf von Luxemburg,1943-07-21,Wehrmachsvorstellung,German,,False,502243,De Graaf van Luxemburg,DUI,Franz Lehár,1909,Der Graf von Luxemburg,operette,NL,1942-1943
5152,0744_1942-1943_00744-20230306_142505.jpg,1942-1943,De Graaf van Luxemburg,1943-07-22,,Dutch,,False,389359,De Graaf van Luxemburg,DUI,Franz Lehár,1909,Der Graf von Luxemburg,operette,NL,1942-1943
5154,0746_1942-1943_00746-20230306_142519.jpg,1942-1943,Don Carlos,1943-07-24,,Dutch,,False,211200,Don Carlos,ITA,Giuseppe Verdi,1867,Don Carlos,romantische opera,Unk,1942-1943
5156,0748_1942-1943_00748-20230306_142556.jpg,1942-1943,Monika,1943-07-25,,Dutch,,False,869124,Monika,DUI,Nico Dostal,1937,Monika,operette,Unk,1942-1943
5158,0750_1942-1943_00750-20230306_142609.jpg,1942-1943,De Graaf van Luxemburg,1943-07-25,,Dutch,,False,539680,De Graaf van Luxemburg,DUI,Franz Lehár,1909,Der Graf von Luxemburg,operette,NL,1942-1943
5160,0752_1942-1943_00752-20230306_142622.jpg,1942-1943,Het Land van den Glimlach,1943-07-27,,Dutch,,False,173886,Het Land van den Glimlach,DUI,Franz Lehár,1923,Das Land des Lächelns,leichte oper,NL,1942-1943
5162,0754_1942-1943_00754-20230306_142635.jpg,1942-1943,Herbergprinses,1943-07-29,,Dutch,,False,602343,Herbergprinses,NL,Jan Blockx,1896,Herbergprinses,zangspel,NL,1942-1943
5164,0756_1942-1943_00756-20230306_142648.jpg,1942-1943,Tristan en Isolde,1943-07-31,Ter sluiting van het speeljaar,Dutch,,False,984855,Tristan en Isolde,DUI,Richard Wagner,1860,Tristan und Isolde,gesamtkunstwerk,NL,1942-1943
5180,0011_1943-1944_00011-20230306_143943.jpg,1943/1944,Das Land des Lächelns,1943-09-02,Wehrmachsvorstellung,German,,False,686531,Het Land van den Glimlach,DUI,Franz Lehár,1923,Das Land des Lächelns,leichte oper,NL,1943-1944
5195,0026_1943-1944_00026-20230306_144222.jpg,1943/1944,Das Land des Lächelns,1943-09-03,Wehrmachsvorstellung,German,,False,840222,Het Land van den Glimlach,DUI,Franz Lehár,1923,Das Land des Lächelns,leichte oper,NL,1943-1944
5197,0028_1943-1944_00028-20230306_144256.jpg,1943/1944,Herbergprinses,1943-09-04,Cultuurverbond Groot-Antwerpen,Dutch,,False,951669,Herbergprinses,NL,Jan Blockx,1896,Herbergprinses,zangspel,NL,1943-1944
5199,0030_1943-1944_00030-20230306_144320.jpg,1943/1944,Cavalleria Rusticana,1943-09-16,Wehrmachsvorstellung,German,,True,254845,Cavalleria Rusticana,ITA,Pietro Mascagni,1890,Cavalleria rusticana,?,ITA,1943-1944
5200,0030_1943-1944_00030-20230306_144320.jpg,1943/1944,Der Bajazzo,1943-09-16,Wehrmachsvorstellung,German,,True,254845,Paljas,ITA,Ruggiero Leoncavallo,1892,Pagliacci,verisme,Unk,1943-1944
5202,0032_1943-1944_00032-20230306_144335.jpg,1943/1944,Cavalleria Rusticana,1943-09-17,Wehrmachsvorstellung,German,,True,935325,Cavalleria Rusticana,ITA,Pietro Mascagni,1890,Cavalleria rusticana,?,ITA,1943-1944
5203,0032_1943-1944_00032-20230306_144335.jpg,1943/1944,Der Bajazzo,1943-09-17,Wehrmachsvorstellung,German,,True,935325,Paljas,ITA,Ruggiero Leoncavallo,1892,Pagliacci,verisme,Unk,1943-1944
5205,0034_1943-1944_00034-20230306_144355.jpg,1943/1944,Rienzi,1943-09-30,Eerste Nederlandsche opvoering,Dutch,https://www.schoonselhof.be/schoonselhoftz/toutenel%20frans.html,False,795207,Rienzi,DUI,Richard Wagner,1840,Rienzi,grand opera,Unk,1943-1944
5207,0036_1943-1944_00036-20230306_144410.jpg,1943/1944,Herbergprinses,1943-10-02,,Dutch,,False,617028,Herbergprinses,NL,Jan Blockx,1896,Herbergprinses,zangspel,NL,1943-1944
5209,0038_1943-1944_00038-20230306_144427.jpg,1943/1944,Herbergprinses,1943-10-03,,Dutch,,False,712170,Herbergprinses,NL,Jan Blockx,1896,Herbergprinses,zangspel,NL,1943-1944
5211,0040_1943-1944_00040-20230306_144455.jpg,1943/1944,De Vrijschutter,1943-10-03,,Dutch,,False,579561,De Vrijschutter,DUI,Carl Maria von Weber,1821,Der Freischütz,romantische oper,NL,1943-1944
5213,0042_1943-1944_00042-20230306_144519.jpg,1943/1944,De Graaf van Luxemburg,1943-10-05,,Dutch,,False,981522,De Graaf van Luxemburg,DUI,Franz Lehár,1909,Der Graf von Luxemburg,operette,NL,1943-1944
5217,0046_1943-1944_00046-20230306_144625.jpg,1943/1944,Herbergprinses,1943-10-07,,Dutch,,False,955863,Herbergprinses,NL,Jan Blockx,1896,Herbergprinses,zangspel,NL,1943-1944
5219,0048_1943-1944_00048-20230306_144638.jpg,1943/1944,De Vrijschutter,1943-10-09,,Dutch,,False,239775,De Vrijschutter,DUI,Carl Maria von Weber,1821,Der Freischütz,romantische oper,NL,1943-1944
5221,0050_1943-1944_00050-20230306_144658.jpg,1943/1944,De Graaf van Luxemburg,1943-10-10,,Dutch,,False,405231,De Graaf van Luxemburg,DUI,Franz Lehár,1909,Der Graf von Luxemburg,operette,NL,1943-1944
5223,0052_1943-1944_00052-20230306_144742.jpg,1943/1944,Rigoletto,1943-10-10,,Dutch,,False,461614,Rigoletto,ITA,Giuseppe Verdi,1851,Rigoletto,melodrama,Unk,1943-1944
5227,0056_1943-1944_00056-20230306_144809.jpg,1943/1944,Dansvertooning,1943-10-12,,Dutch,,True,742079,Dansvertooning,?,?,?,?,ballet,NL,1943-1944
5228,0056_1943-1944_00056-20230306_144809.jpg,1943/1944,De Sylphiden,1943-10-12,,Dutch,,True,742079,De Sylphiden,N/A,Michel Brusselmans,?,De Sylphiden,ballet,NL,1943-1944
5229,0056_1943-1944_00056-20230306_144809.jpg,1943/1944,Carnaval,1943-10-12,,Dutch,,True,742079,Carnaval,N/A,Jaak Opsomer,1936,Carnaval,ballet,Unk,1943-1944
5230,0056_1943-1944_00056-20230306_144809.jpg,1943/1944,Coppelia,1943-10-12,,Dutch,,True,742079,Coppelia,FR,Léo Delibes,1870,Coppélia,ballet,Unk,1943-1944
5231,0056_1943-1944_00056-20230306_144809.jpg,1943/1944,De Koekoek,1943-10-12,,Dutch,,True,742079,De Koekoek,N/A,Jaak Opsomer,?,De Koekoek,ballet,NL,1943-1944
5233,0058_1943-1944_00058-20230306_144839.jpg,1943/1944,Rienzi,1943-10-13,Wehrmachsvorstellung,German,,False,565419,Rienzi,DUI,Richard Wagner,1840,Rienzi,grand opera,Unk,1943-1944
5235,0060_1943-1944_00060-20230306_144908.jpg,1943/1944,De Vrijschutter,1943-10-14,,Dutch,,False,945869,De Vrijschutter,DUI,Carl Maria von Weber,1821,Der Freischütz,romantische oper,NL,1943-1944
5237,0062_1943-1944_00062-20230306_144923.jpg,1943/1944,Rienzi,1943-10-15,Wehrmachsvorstellung,German,,False,770688,Rienzi,DUI,Richard Wagner,1840,Rienzi,grand opera,Unk,1943-1944
5239,0064_1943-1944_00064-20230306_144938.jpg,1943/1944,Rienzi,1943-10-16,,Dutch,,False,798215,Rienzi,DUI,Richard Wagner,1840,Rienzi,grand opera,Unk,1943-1944
5241,0066_1943-1944_00066-20230306_144956.jpg,1943/1944,Dansvertooning,1943-10-17,,Dutch,,True,745916,Dansvertooning,?,?,?,?,ballet,NL,1943-1944
