,Image,Collection,Production,Date,Occasion,Leaflet_Language,Opmerking,Multiple bill,Performances_ID,Normalised title,Original language,Composer,Original premiere,Original title,genre,Title_Language,Season
1472,1937-1938_00123-20230218_163337.jpg,1937-1938,Carmen,1937-12-23,,Dutch,,False,227827,Carmen,FR,Georges Bizet,1875,Carmen,opéra comique,Unk,1937-1938
1474,1937-1938_00125-20230218_163352.jpg,1937-1938,Aïda,1937-12-25,,Dutch,,False,477480,Aïda,ITA,Giuseppe Verdi,1872,Aïda,opera,Unk,1937-1938
1476,1937-1938_00127-20230218_163407.jpg,1937-1938,Paganini,1937-12-26,,Dutch,,False,932417,Paganini,DUI,Franz Lehár,1925,Paganini,operetta,Unk,1937-1938
1478,1937-1938_00128-20230218_163441.jpg,1937-1938,Lohengrin,1937-12-26,,Dutch,,False,734128,Lohengrin,DUI,Richard Wagner,1850,Lohengrin,romantische oper,Unk,1937-1938
1480,1937-1938_00130-20230218_163458.jpg,1937-1938,Zwarte Viooltjes,1937-12-28,gala,Dutch,,False,547197,Zwarte Viooltjes,NL,August Baeyens,1937,Zwarte Viooltjes,operette,NL,1937-1938
1482,1937-1938_00132-20230218_163516.jpg,1937-1938,Paganini,1937-12-30,,Dutch,,False,761450,Paganini,DUI,Franz Lehár,1925,Paganini,operetta,Unk,1937-1938
1484,1937-1938_00134-20230218_163531.jpg,1937-1938,Zwarte Viooltjes,1938-01-01,,Dutch,,False,810096,Zwarte Viooltjes,NL,August Baeyens,1937,Zwarte Viooltjes,operette,NL,1937-1938
1486,1937-1938_00136-20230218_163546.jpg,1937-1938,Driemeisjeshuis,1938-01-02,,Dutch,,False,309689,Driemeisjeshuis,DUI,Heinrich Berté,1916,Das Dreimäderlhaus,leichte oper,NL,1937-1938
1488,1937-1938_00138-20230218_163607.jpg,1937-1938,Zwarte Viooltjes,1938-01-02,,Dutch,,False,625126,Zwarte Viooltjes,NL,August Baeyens,1937,Zwarte Viooltjes,operette,NL,1937-1938
1490,1937-1938_00140-20230218_163635.jpg,1937-1938,Zwarte Viooltjes,1938-01-04,,Dutch,,False,983782,Zwarte Viooltjes,NL,August Baeyens,1937,Zwarte Viooltjes,operette,NL,1937-1938
1492,1937-1938_00142-20230218_163652.jpg,1937-1938,Cavalleria Rusticana,1938-01-06,,Dutch,,True,302092,Cavalleria Rusticana,ITA,Pietro Mascagni,1890,Cavalleria rusticana,?,ITA,1937-1938
1493,1937-1938_00142-20230218_163652.jpg,1937-1938,Paljas,1938-01-06,,Dutch,,True,302092,Paljas,ITA,Ruggiero Leoncavallo,1892,Pagliacci,verisme,Unk,1937-1938
1495,1937-1938_00144-20230218_163707.jpg,1937-1938,Faust,1938-01-08,,Dutch,,False,160506,Faust,FR,Charles Gounod,1859,Faust,grand opera,Unk,1937-1938
1497,1937-1938_00146-20230218_163742.jpg,1937-1938,Zwarte Viooltjes,1938-01-09,,Dutch,,False,606404,Zwarte Viooltjes,NL,August Baeyens,1937,Zwarte Viooltjes,operette,NL,1937-1938
1499,1937-1938_00148-20230218_163800.jpg,1937-1938,Cavalleria Rusticana,1938-01-09,,Dutch,,True,349415,Cavalleria Rusticana,ITA,Pietro Mascagni,1890,Cavalleria rusticana,?,ITA,1937-1938
1500,1937-1938_00148-20230218_163800.jpg,1937-1938,Paljas,1938-01-09,,Dutch,,True,349415,Paljas,ITA,Ruggiero Leoncavallo,1892,Pagliacci,verisme,Unk,1937-1938
1502,1937-1938_00150-20230218_163817.jpg,1937-1938,De Tooverfluit,1938-01-11,GAKVO-gala,Dutch,,False,591897,De Tooverfluit,DUI,Wolfgang Amadeus Mozart,1791,Die Zauberflöte,zangspel,NL,1937-1938
1504,1937-1938_00152-20230218_163843.jpg,1937-1938,Zwarte Viooltjes,1938-01-13,,Dutch,,False,214137,Zwarte Viooltjes,NL,August Baeyens,1937,Zwarte Viooltjes,operette,NL,1937-1938
1506,1937-1938_00154-20230218_163859.jpg,1937-1938,Rigoletto,1938-01-15,,Dutch,,False,508711,Rigoletto,ITA,Giuseppe Verdi,1851,Rigoletto,melodrama,Unk,1937-1938
1508,1937-1938_00156-20230218_163915.jpg,1937-1938,Cavalleria Rusticana,1938-01-16,,Dutch,,True,792372,Cavalleria Rusticana,ITA,Pietro Mascagni,1890,Cavalleria rusticana,?,ITA,1937-1938
1509,1937-1938_00156-20230218_163915.jpg,1937-1938,Paljas,1938-01-16,,Dutch,,True,792372,Paljas,ITA,Ruggiero Leoncavallo,1892,Pagliacci,verisme,Unk,1937-1938
1511,1937-1938_00158-20230218_163931.jpg,1937-1938,Faust,1938-01-16,,Dutch,,False,115227,Faust,FR,Charles Gounod,1859,Faust,grand opera,Unk,1937-1938
1513,1937-1938_00160-20230218_164002.jpg,1937-1938,Carmen,1938-01-18,,Dutch,,False,298955,Carmen,FR,Georges Bizet,1875,Carmen,opéra comique,Unk,1937-1938
1515,1937-1938_00162-20230218_164017.jpg,1937-1938,Rigoletto,1938-01-20,,Dutch,,False,281851,Rigoletto,ITA,Giuseppe Verdi,1851,Rigoletto,melodrama,Unk,1937-1938
1517,1937-1938_00164-20230218_164034.jpg,1937-1938,Cosi fan Tutte,1938-01-22,eerste opvoering in de KVO,Dutch,,False,108966,Cosi fan Tutte,ITA,Wolfgang Amadeus Mozart,1794,"Cosi fan tutte, ossia La scuola degli amanti",opera buffa,ITA,1937-1938
1519,1937-1938_00166-20230218_164049.jpg,1937-1938,Faust,1938-01-23,,Dutch,,False,240944,Faust,FR,Charles Gounod,1859,Faust,grand opera,Unk,1937-1938
1521,1937-1938_00168-20230218_164105.jpg,1937-1938,Cosi fan Tutte,1938-01-23,,Dutch,,False,924648,Cosi fan Tutte,ITA,Wolfgang Amadeus Mozart,1794,"Cosi fan tutte, ossia La scuola degli amanti",opera buffa,ITA,1937-1938
1523,1937-1938_00313-20230310_141534.jpg,1937-1938,Rigoletto,1938-01-25,gala,Dutch,,False,786055,Rigoletto,ITA,Giuseppe Verdi,1851,Rigoletto,melodrama,Unk,1937-1938
1525,1937-1938_00171-20230218_164146.jpg,1937-1938,Cosi fan Tutte,1938-01-25,,Dutch,,False,684729,Cosi fan Tutte,ITA,Wolfgang Amadeus Mozart,1794,"Cosi fan tutte, ossia La scuola degli amanti",opera buffa,ITA,1937-1938
1527,1937-1938_00173-20230218_164200.jpg,1937-1938,Hoffman’s Vertellingen,1938-01-09,,Dutch,,False,137997,Hoffman’s Vertellingen,N/A,N/A,N/A,N/A,N/A,N/A,1937-1938
1529,1937-1938_00175-20230218_164222.jpg,1937-1938,Cosi fan Tutte,1938-01-30,,Dutch,,False,204495,Cosi fan Tutte,ITA,Wolfgang Amadeus Mozart,1794,"Cosi fan tutte, ossia La scuola degli amanti",opera buffa,ITA,1937-1938
1531,1937-1938_00177-20230218_164238.jpg,1937-1938,Rigoletto,1938-01-30,,Dutch,,False,816415,Rigoletto,ITA,Giuseppe Verdi,1851,Rigoletto,melodrama,Unk,1937-1938
