,Image,Collection,Production,Date,Occasion,Multiple bill,Performances_ID,Normalised title,Original language,Composer,Original premiere,Original title,genre,Season,Directors,Title_Language
47,K.V.O. programmas 1893-97_00107-20211201_115104.jpg,1893-1897,De Vrijschutter,1894-03-27,Ter benifice van Mej. Safir,False,599828,De Vrijschutter,DUI,Carl Maria von Weber,1821,Der Freischütz,romantische oper,1893-1894,Edward Keurvels & Henry Fontaine,NL
48,K.V.O. programmas 1893-97_00109-20211201_115132.jpg,1893-1897,Het Meilief,1894-03-29,Eerste vertoning,False,587027,Het Meilief,NL,Peter Benoit,1893,Het Meilief,lyrisch drama,1893-1894,Edward Keurvels & Henry Fontaine,NL
49,K.V.O. programmas 1893-97_00111-20211201_115200.jpg,1893-1897,Het Meilief,1894-04-03,,False,929318,Het Meilief,NL,Peter Benoit,1893,Het Meilief,lyrisch drama,1893-1894,Edward Keurvels & Henry Fontaine,NL
50,K.V.O. programmas 1893-97_00111-20211201_115200.jpg,1893-1897,Het Meilief,1894-04-05,,False,541192,Het Meilief,NL,Peter Benoit,1893,Het Meilief,lyrisch drama,1893-1894,Edward Keurvels & Henry Fontaine,NL
51,K.V.O. programmas 1893-97_00113-20211201_115221.jpg,1893-1897,De Vliegende Hollander,1894-04-14,,False,392381,De Vliegende Hollander,DEE,Richard Wagner,1843,Der fliegende Holländer,romantische oper,1893-1894,Edward Keurvels & Henry Fontaine,NL
52,K.V.O. programmas 1893-97_00115-20211201_115246.jpg,1893-1897,Het Meilief,1894-04-19,,False,220204,Het Meilief,NL,Peter Benoit,1893,Het Meilief,lyrisch drama,1893-1894,Edward Keurvels & Henry Fontaine,NL
53,K.V.O. programmas 1893-97_00117-20211201_115308.jpg,1893-1897,De Vrijschutter,1894-04-21,,False,194058,De Vrijschutter,DUI,Carl Maria von Weber,1821,Der Freischütz,romantische oper,1893-1894,Edward Keurvels & Henry Fontaine,NL
54,K.V.O. programmas 1893-97_00119-20211201_115324.jpg,1893-1897,De Vliegende Hollander,1894-04-24,,False,960153,De Vliegende Hollander,DEE,Richard Wagner,1843,Der fliegende Holländer,romantische oper,1893-1894,Edward Keurvels & Henry Fontaine,NL
55,K.V.O. programmas 1893-97_00121-20211201_115347.jpg,1893-1897,Euryanthe,1894-10-06,Openingsvertoning,False,127921,Euryanthe,DUI,Carl Maria von Weber,1823,Euryanthe,romantisch zangspel,1894-1895,Edward Keurvels & Henry Fontaine,Unk
56,K.V.O. programmas 1893-97_00121-20211201_115347.jpg,1893-1897,Euryanthe,1894-10-09,,False,403701,Euryanthe,DUI,Carl Maria von Weber,1823,Euryanthe,romantisch zangspel,1894-1895,Edward Keurvels & Henry Fontaine,Unk
57,K.V.O. programmas 1893-97_00123-20211201_115431.jpg,1893-1897,Czaar en Timmerman,1894-10-13,,False,327331,Czaar en Timmerman,DUI,Albert Lortzing,1837,Zar und Zimmermann,zangspel,1894-1895,Edward Keurvels & Henry Fontaine,NL
58,K.V.O. programmas 1893-97_00125-20211201_115453.jpg,1893-1897,Czaar en Timmerman,1894-10-16,,False,974955,Czaar en Timmerman,DUI,Albert Lortzing,1837,Zar und Zimmermann,zangspel,1894-1895,Edward Keurvels & Henry Fontaine,NL
59,K.V.O. programmas 1893-97_00127-20211201_115516.jpg,1893-1897,Euryanthe,1894-10-20,,False,353892,Euryanthe,DUI,Carl Maria von Weber,1823,Euryanthe,romantisch zangspel,1894-1895,Edward Keurvels & Henry Fontaine,Unk
60,K.V.O. programmas 1893-97_00129-20211201_115540.jpg,1893-1897,Czaar en Timmerman,1894-10-23,,False,754156,Czaar en Timmerman,DUI,Albert Lortzing,1837,Zar und Zimmermann,zangspel,1894-1895,Edward Keurvels & Henry Fontaine,NL
61,K.V.O. programmas 1893-97_00129-20211201_115540.jpg,1893-1897,Czaar en Timmerman,1894-10-27,,False,582003,Czaar en Timmerman,DUI,Albert Lortzing,1837,Zar und Zimmermann,zangspel,1894-1895,Edward Keurvels & Henry Fontaine,NL
62,K.V.O. programmas 1893-97_00131-20211201_115608.jpg,1893-1897,De Vrijschutter,1894-10-30,,False,417564,De Vrijschutter,DUI,Carl Maria von Weber,1821,Der Freischütz,romantische oper,1894-1895,Edward Keurvels & Henry Fontaine,NL
63,K.V.O. programmas 1893-97_00133-20211201_115740.jpg,1893-1897,Czaar en Timmerman,1894-11-03,,False,425374,Czaar en Timmerman,DUI,Albert Lortzing,1837,Zar und Zimmermann,zangspel,1894-1895,Edward Keurvels & Henry Fontaine,NL
64,K.V.O. programmas 1893-97_00135-20211201_115803.jpg,1893-1897,De Vliegende Hollander,1894-11-06,,False,635138,De Vliegende Hollander,DEE,Richard Wagner,1843,Der fliegende Holländer,romantische oper,1894-1895,Edward Keurvels & Henry Fontaine,NL
65,K.V.O. programmas 1893-97_00137-20211201_115828.jpg,1893-1897,De Vliegende Hollander,1894-11-10,,False,668458,De Vliegende Hollander,DEE,Richard Wagner,1843,Der fliegende Holländer,romantische oper,1894-1895,Edward Keurvels & Henry Fontaine,NL
66,K.V.O. programmas 1893-97_00139-20211201_115851.jpg,1893-1897,Preciosa,1894-11-13,,False,145432,Preciosa,DUI,Carl Maria von Weber,1821,Preciosa,romantische oper,1894-1895,Edward Keurvels & Henry Fontaine,Unk
67,K.V.O. programmas 1893-97_00141-20211201_115909.jpg,1893-1897,De Vliegende Hollander,1894-11-17,,False,154819,De Vliegende Hollander,DEE,Richard Wagner,1843,Der fliegende Holländer,romantische oper,1894-1895,Edward Keurvels & Henry Fontaine,NL
68,K.V.O. programmas 1893-97_00143-20211201_115929.jpg,1893-1897,Bergliot,1894-11-20,,False,711460,Bergliot,NOR,Edvard Grieg,?,Bergliot,lyrisch drama,1894-1895,Edward Keurvels & Henry Fontaine,Unk
69,K.V.O. programmas 1893-97_00147-20211201_120006.jpg,1893-1897,Czaar en Timmerman,1894-11-24,gala-vertoning,False,386993,Czaar en Timmerman,DUI,Albert Lortzing,1837,Zar und Zimmermann,zangspel,1894-1895,Edward Keurvels & Henry Fontaine,NL
70,K.V.O. programmas 1893-97_00151-20211201_120129.jpg,1893-1897,Ondine,1894-12-04,Eerste vertoning,False,644356,Ondine,DUI,Albert Lortzing,1845,Undine,toverzangspel,1894-1895,Edward Keurvels & Henry Fontaine,Unk
71,K.V.O. programmas 1893-97_00153-20211201_120142.jpg,1893-1897,De Vliegende Hollander,1894-12-01,gala-vertoning,False,922877,De Vliegende Hollander,DEE,Richard Wagner,1843,Der fliegende Holländer,romantische oper,1894-1895,Edward Keurvels & Henry Fontaine,NL
