,Date,Original premiere,Directors,Normalised title,Composer,Multiple bill,Season,Title_Language,Occasion,Production_Language,Dutch,German,Title_Language_GLM,Dutch_Title,German_Title
118,1895-04-28,1845,Edward Keurvels & Henry Fontaine,Tannhauser,Richard Wagner,False,1894-1895,Unk,N,German,False,True,other,False,False
119,1895-04-30,1805,Edward Keurvels & Henry Fontaine,Fidelio,Ludwig van Beethoven,False,1894-1895,Unk,N,German,False,True,other,False,False
120,1895-04-30,?,Edward Keurvels & Henry Fontaine,Bergliot,Edvard Grieg,False,1894-1895,Unk,N,other,False,False,other,False,False
121,1895-10-01,1889,Edward Keurvels & Henry Fontaine,Brinio,Simon van Milligen,False,1895-1896,Unk,N,Dutch,True,False,other,False,False
122,1895-10-08,1821,Edward Keurvels & Henry Fontaine,De Vrijschutter,Carl Maria von Weber,False,1895-1896,NL,N,German,False,True,Dutch,True,False
123,1895-10-15,1805,Edward Keurvels & Henry Fontaine,Fidelio,Ludwig van Beethoven,False,1895-1896,Unk,N,German,False,True,other,False,False
124,1895-10-19,1805,Edward Keurvels & Henry Fontaine,Fidelio,Ludwig van Beethoven,False,1895-1896,Unk,N,German,False,True,other,False,False
125,1895-10-22,1805,Edward Keurvels & Henry Fontaine,Fidelio,Ludwig van Beethoven,False,1895-1896,Unk,N,German,False,True,other,False,False
126,1895-10-26,1805,Edward Keurvels & Henry Fontaine,Fidelio,Ludwig van Beethoven,False,1895-1896,Unk,N,German,False,True,other,False,False
127,1895-10-29,1833,Edward Keurvels & Henry Fontaine,Hans Heiling,Heinrich Marschner,False,1895-1896,Unk,N,German,False,True,other,False,False
128,1895-10-31,1833,Edward Keurvels & Henry Fontaine,Hans Heiling,Heinrich Marschner,False,1895-1896,Unk,N,German,False,True,other,False,False
129,1895-11-02,1833,Edward Keurvels & Henry Fontaine,Hans Heiling,Heinrich Marschner,False,1895-1896,Unk,N,German,False,True,other,False,False
130,1895-11-09,1833,Edward Keurvels & Henry Fontaine,Hans Heiling,Heinrich Marschner,False,1895-1896,Unk,N,German,False,True,other,False,False
131,1895-11-12,1821,Edward Keurvels & Henry Fontaine,De Vrijschutter,Carl Maria von Weber,False,1895-1896,NL,N,German,False,True,Dutch,True,False
132,1895-11-14,1846,Edward Keurvels & Henry Fontaine,De Wapensmid,Albert Lortzing,False,1895-1896,DUI,N,German,False,True,German,False,True
133,1895-11-16,1846,Edward Keurvels & Henry Fontaine,De Wapensmid,Albert Lortzing,False,1895-1896,DUI,N,German,False,True,German,False,True
134,1895-11-19,1805,Edward Keurvels & Henry Fontaine,Fidelio,Ludwig van Beethoven,False,1895-1896,Unk,N,German,False,True,other,False,False
135,1895-11-23,1845,Edward Keurvels & Henry Fontaine,Ondine,Albert Lortzing,False,1895-1896,Unk,N,German,False,True,other,False,False
136,1895-11-26,1845,Edward Keurvels & Henry Fontaine,Ondine,Albert Lortzing,False,1895-1896,Unk,N,German,False,True,other,False,False
137,1895-11-30,1845,Edward Keurvels & Henry Fontaine,Ondine,Albert Lortzing,False,1895-1896,Unk,N,German,False,True,other,False,False
138,1895-12-03,1846,Edward Keurvels & Henry Fontaine,De Wapensmid,Albert Lortzing,False,1895-1896,DUI,N,German,False,True,German,False,True
139,1895-12-07,1805,Edward Keurvels & Henry Fontaine,Fidelio,Ludwig van Beethoven,False,1895-1896,Unk,N,German,False,True,other,False,False
140,1895-12-10,1846,Edward Keurvels & Henry Fontaine,De Wapensmid,Albert Lortzing,False,1895-1896,DUI,N,German,False,True,German,False,True
141,1895-12-14,1866,Edward Keurvels & Henry Fontaine,De Verkochte Bruid,Bedřich	Smetana,False,1895-1896,NL,G,other,False,False,Dutch,True,False
142,1895-12-17,1866,Edward Keurvels & Henry Fontaine,De Verkochte Bruid,Bedřich	Smetana,False,1895-1896,NL,N,other,False,False,Dutch,True,False
143,1895-12-21,1866,Edward Keurvels & Henry Fontaine,De Verkochte Bruid,Bedřich	Smetana,False,1895-1896,NL,N,other,False,False,Dutch,True,False
144,1895-12-24,1805,Edward Keurvels & Henry Fontaine,Fidelio,Ludwig van Beethoven,False,1895-1896,Unk,N,German,False,True,other,False,False
145,1895-12-26,1866,Edward Keurvels & Henry Fontaine,De Verkochte Bruid,Bedřich	Smetana,False,1895-1896,NL,N,other,False,False,Dutch,True,False
146,1895-12-28,1845,Edward Keurvels & Henry Fontaine,Ondine,Albert Lortzing,False,1895-1896,Unk,N,German,False,True,other,False,False
147,1895-12-31,1821,Edward Keurvels & Henry Fontaine,De Vrijschutter,Carl Maria von Weber,False,1895-1896,NL,N,German,False,True,Dutch,True,False
148,1896-01-04,1866,Edward Keurvels & Henry Fontaine,De Verkochte Bruid,Bedřich	Smetana,False,1895-1896,NL,N,other,False,False,Dutch,True,False
149,1895-01-07,1846,Edward Keurvels & Henry Fontaine,De Wapensmid,Albert Lortzing,False,1894-1895,DUI,N,German,False,True,German,False,True
150,1896-01-09,1845,Edward Keurvels & Henry Fontaine,Tannhauser,Richard Wagner,False,1895-1896,Unk,G,German,False,True,other,False,False
151,1896-01-11,1845,Edward Keurvels & Henry Fontaine,Tannhauser,Richard Wagner,False,1895-1896,Unk,N,German,False,True,other,False,False
152,1896-01-12,1866,Edward Keurvels & Henry Fontaine,De Verkochte Bruid,Bedřich	Smetana,False,1895-1896,NL,N,other,False,False,Dutch,True,False
153,1896-01-14,1845,Edward Keurvels & Henry Fontaine,Tannhauser,Richard Wagner,False,1895-1896,Unk,N,German,False,True,other,False,False
154,1896-01-18,1846,Edward Keurvels & Henry Fontaine,De Wapensmid,Albert Lortzing,False,1895-1896,DUI,N,German,False,True,German,False,True
155,1896-01-21,1845,Edward Keurvels & Henry Fontaine,Tannhauser,Richard Wagner,False,1895-1896,Unk,N,German,False,True,other,False,False
156,1896-01-25,1866,Edward Keurvels & Henry Fontaine,De Verkochte Bruid,Bedřich	Smetana,False,1895-1896,NL,N,other,False,False,Dutch,True,False
157,1896-01-28,1845,Edward Keurvels & Henry Fontaine,Tannhauser,Richard Wagner,False,1895-1896,Unk,N,German,False,True,other,False,False
158,1896-02-01,1843,Edward Keurvels & Henry Fontaine,De Vliegende Hollander,Richard Wagner,False,1895-1896,NL,G,German,False,True,Dutch,True,False
159,1896-02-04,1843,Edward Keurvels & Henry Fontaine,De Vliegende Hollander,Richard Wagner,False,1895-1896,NL,N,German,False,True,Dutch,True,False
160,1896-02-08,1845,Edward Keurvels & Henry Fontaine,Tannhauser,Richard Wagner,False,1895-1896,Unk,N,German,False,True,other,False,False
161,1896-02-11,1843,Edward Keurvels & Henry Fontaine,De Vliegende Hollander,Richard Wagner,False,1895-1896,NL,N,German,False,True,Dutch,True,False
162,1896-02-13,1805,Edward Keurvels & Henry Fontaine,Fidelio,Ludwig van Beethoven,False,1895-1896,Unk,N,German,False,True,other,False,False
163,1896-02-16,1845,Edward Keurvels & Henry Fontaine,Ondine,Albert Lortzing,False,1895-1896,Unk,N,German,False,True,other,False,False
164,1896-02-18,1866,Edward Keurvels & Henry Fontaine,De Verkochte Bruid,Bedřich	Smetana,False,1895-1896,NL,N,other,False,False,Dutch,True,False
165,1896-02-20,1890,Edward Keurvels & Henry Fontaine,Pelops,Fibich Zdeněk,False,1895-1896,Unk,G,other,False,False,other,False,False
166,1896-02-22,1845,Edward Keurvels & Henry Fontaine,Tannhauser,Richard Wagner,False,1895-1896,Unk,G,German,False,True,other,False,False
167,1896-02-25,1833,Edward Keurvels & Henry Fontaine,Hans Heiling,Heinrich Marschner,False,1895-1896,Unk,N,German,False,True,other,False,False
168,1896-02-29,1837,Edward Keurvels & Henry Fontaine,Czaar en Timmerman,Albert Lortzing,False,1895-1896,NL,N,German,False,True,Dutch,True,False
169,1896-03-03,1866,Edward Keurvels & Henry Fontaine,De Verkochte Bruid,Bedřich	Smetana,False,1895-1896,NL,N,other,False,False,Dutch,True,False
170,1896-03-07,1890,Edward Keurvels & Henry Fontaine,Tantalus,Zdeněk Fibich,False,1895-1896,Unk,N,other,False,False,other,False,False
171,1896-03-10,1845,Edward Keurvels & Henry Fontaine,Tannhauser,Richard Wagner,False,1895-1896,Unk,N,German,False,True,other,False,False
172,1896-03-14,1791,Edward Keurvels & Henry Fontaine,De Tooverfluit,Wolfgang Amadeus Mozart,False,1895-1896,NL,G,German,False,True,Dutch,True,False
173,1896-03-17,1791,Edward Keurvels & Henry Fontaine,De Tooverfluit,Wolfgang Amadeus Mozart,False,1895-1896,NL,N,German,False,True,Dutch,True,False
174,1896-03-21,1791,Edward Keurvels & Henry Fontaine,De Tooverfluit,Wolfgang Amadeus Mozart,False,1895-1896,NL,N,German,False,True,Dutch,True,False
175,1896-03-19,1791,Edward Keurvels & Henry Fontaine,De Tooverfluit,Wolfgang Amadeus Mozart,False,1895-1896,NL,N,German,False,True,Dutch,True,False
176,1896-03-24,1791,Edward Keurvels & Henry Fontaine,De Tooverfluit,Wolfgang Amadeus Mozart,False,1895-1896,NL,N,German,False,True,Dutch,True,False
177,1896-03-27,1791,Edward Keurvels & Henry Fontaine,De Tooverfluit,Wolfgang Amadeus Mozart,False,1895-1896,NL,N,German,False,True,Dutch,True,False
178,1896-03-28,1791,Edward Keurvels & Henry Fontaine,De Tooverfluit,Wolfgang Amadeus Mozart,False,1895-1896,NL,N,German,False,True,Dutch,True,False
179,1896-03-31,1845,Edward Keurvels & Henry Fontaine,Tannhauser,Richard Wagner,False,1895-1896,Unk,N,German,False,True,other,False,False
180,1896-04-07,1837,Edward Keurvels & Henry Fontaine,Czaar en Timmerman,Albert Lortzing,False,1895-1896,NL,N,German,False,True,Dutch,True,False
181,1896-04-12,1845,Edward Keurvels & Henry Fontaine,Tannhauser,Richard Wagner,False,1895-1896,Unk,N,German,False,True,other,False,False
