Date	Production
24/1/1943	Peperbol
26/1/1943	Mona Lisa
28/1/1943	Peperbol
30/1/1943	Wedstrijd: schaakspel en bridge
31/1/1943	Ballet Carnaval
31/1/1943	Madame Butterfly
31/1/1943	Tannhäuser
2/2/1943	Peperbol
4/2/1943	Ballet Suite de Dance
4/2/1943	Madame Butterfly
7/2/1943	De Lustige Weduwe
7/2/1943	Mona Lisa
8/2/1943	Hansel en Gretel
9/2/1943	Bohème
11/2/1943	Bohème
12/2/1943	5e Symfonieconcert 
14/2/1943	De Graaf van Luxemburg
14/2/1943	De Lustige Weduwe
16/2/1943	De Graaf van Luxemburg
17/2/1943	Groot Symfonisch Concert
18/2/1943	Faust
19/2/1943	Pianorecital
21/2/1943	Mona
21/2/1943	Peperbol
23/2/1943	Peperbol
25/2/1943	Peperbol
27/2/1943	Bohème
28/2/1943	Faust
28/2/1943	De Graaf van Luxemburg
1/3/1943	Huldebetoon
2/3/1943	Ballet
4/3/1943	De Lustige Weduwe
6/3/1943	De Lustige Weduwe
7/3/1943	Bohème
7/3/1943	Laagland
8/3/1943	6de Symfonisch concert
9/3/1943	Peperbol
11/3/1943	De Graaf van Luxemburg
14/3/1943	Peperbol
14/3/1943	De Verkochte Bruid
16/3/1943	Rigoletto
18/3/1943	De Bedelstudent
20/3/1943	De Verkochte Bruid
21/3/1943	Rigoletto
21/3/1943	Ballet
23/3/1943	De Bedelstudent
25/3/1943	Rigoletto
27/3/1943	Revue Duitse Weermacht
28/3/1943	Verschillende poppenspelen in de concertzaal
28/3/1943	Verschillende poppenspelen in de concertzaal
28/3/1943	De Bedelstudent
28/3/1943	Faust
30/3/1943	De Verkochte Bruid
1/4/1943	De Verkochte Bruid
3/4/1943	Kunstconcert
4/4/1943	De Verkochte Bruid
4/4/1943	Rigoletto
5/4/1943	7de Symfonische concert
6/4/1943	La Traviata
7/4/1943	Wiener Sängerknaben
8/4/1943	Laagland
9/4/1943	Cavalleria Rusticana
9/4/1943	Bajazzo
10/4/1943	Cavalleria Rusticana
10/4/1943	Bajazzo
11/4/1943	Laagland
11/4/1943	De Graaf van Luxemburg
13/4/1943	De Graaf van Luxemburg
15/4/1943	Knokkelbeen
18/4/1943	Peperbol
18/4/1943	Het Land van de Glimlach
19/4/1943	Het Land van de Glimlach
20/4/1943	Het Land van de Glimlach
22/4/1943	Het Land van de Glimlach
25/4/1943	Knokkelbeen
25/4/1943	De Verkochte Bruid
27/4/1943	Laagland
29/4/1943	La Traviata
1/5/1943	1-Meifeest Unie
2/5/1943	La Traviata
2/5/1943	Knokkelbeen
3/5/1943	8 ste Symfonisch Concert 
4/5/1943	De Dans met de Keizerin
6/5/1943	't Was de Wind
6/5/1943	De Dans met de Keizerin
8/5/1943	Het Land van de Glimlach
9/5/1943	De Dans met de Keizerin
9/5/1943	Vergadering den Unie der Textiel 
9/5/1943	De Dans met de Keizerin
11/5/1943	La Traviata
13/5/1943	De Rozenkavalier
15/5/1943	Das Konzert
16/5/1943	De Rozenkavalier
16/5/1943	De Dans met de Keizerin
18/5/1943	De Rozenkavalier
20/5/1943	De Neef uit het Oosten
22/5/1943	De Rozenkavalier
23/5/1943	Het Land van de Glimlach
23/5/1943	De Rozenkavalier
25/5/1943	Het Land van de Glimlach
27/5/1943	De Rozenkavalier
30/5/1943	De Neef uit het Oosten
30/5/1943	Het Land van de Glimlach
31/5/1943	9 de Symfonisch Concert: Beethoven 9de symfonie 
1/6/1943	De Neef uit het Oosten
3/6/1943	Het Land van de Glimlach
6/6/1943	La Traviata
6/6/1943	Carmen
7/6/1943	Bonte avond voor Duitse Weermacht
8/6/1943	Carmen
10/6/1943	Carmen
13/6/1943	Carmen
13/6/1943	De Neef uit het Oosten
14/6/1943	Vrienden van het Oostfront
15/6/1943	De Vogelhandelaar
17/6/1943	De Vogelhandelaar
20/6/1943	Het Land van de Glimlach
20/6/1943	De Vogelhandelaar
22/6/1943	Het Land van de Glimlach
24/6/1943	Het Land van de Glimlach
26/6/1943	Carmen
27/6/1943	Carmen
27/6/1943	De Vledermuis
28/6/1943	De Lustige Weduwe
29/6/1943	De Vledermuis
1/7/1943	De Vogelhandelaar
4/7/1943	De Vledermuis
4/7/1943	Carmen
6/7/1943	Carmen
8/7/1943	Carmen
11/7/1943	De Vogelhandelaar
11/7/1943	Cavalleria Rusticana
11/7/1943	Paljas
13/7/1943	Cavalleria Rusticana
13/7/1943	Paljas
15/7/1943	Cavalleria Rusticana
15/7/1943	Paljas
17/7/1943	De Vogelhandelaar
18/7/1943	Carmen
18/7/1943	De Vledermuis
20/7/1943	De Vogelhandelaar
22/7/1943	De Vledermuis
25/7/1943	Cavalleria Rusticana
25/7/1943	Paljas
